Hybridization REF	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28861	7369.743781	N	72231	14160.436723	N	68169	12446.509987	N	34430	10418.044064	N	47434	11953.352843	N
hsa-let-7a-2	57855	14773.449516	Y	144802	28387.528323	Y	135812	24796.981243	Y	68739	20799.475194	N	95512	24068.993481	Y
hsa-let-7a-3	29397	7506.613005	N	73303	14370.595632	N	68530	12512.422500	N	34852	10545.735456	N	48697	12271.628440	N
hsa-let-7b	42389	10824.159563	N	72641	14240.814664	N	62330	11380.407040	N	37864	11457.125195	N	119957	30229.125669	N
hsa-let-7c	46297	11822.079202	Y	62027	12160.006211	Y	75322	13752.527179	Y	30684	9284.556029	N	29711	7487.162506	Y
hsa-let-7d	2611	666.726760	N	3742	733.595744	N	3819	697.285007	N	2660	804.879385	N	4729	1191.706489	N
hsa-let-7e	15678	4003.424795	N	32835	6437.096812	N	41801	7632.157784	N	16111	4874.966829	N	11003	2772.752484	N
hsa-let-7f-1	89	22.726420	N	243	47.638633	N	216	39.437958	N	111	33.587072	N	105	26.459966	N
hsa-let-7f-2	32620	8329.615819	N	112762	22106.286300	N	111304	20322.233678	N	56277	17028.645536	N	37399	9424.536050	N
hsa-let-7g	3977	1015.538998	N	8342	1635.397034	N	7700	1405.890169	N	4689	1418.826855	N	4969	1252.186412	N
hsa-let-7i	1352	345.237296	N	2097	411.103762	N	1937	353.663540	N	1521	460.233663	N	1860	468.719406	N
hsa-mir-1-1	0	0.000000	N	1	0.196044	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1-2	103	26.301362	N	188	36.856227	N	269	49.114864	N	140	42.362073	N	32	8.063990	N
hsa-mir-100	31285	7988.719525	N	77911	15273.965271	N	63642	11619.956118	Y	31212	9444.321561	N	150716	37980.383841	N
hsa-mir-101-1	62384	15929.943386	N	116960	22929.277998	N	117804	21509.024080	N	56711	17159.967962	N	62595	15773.919999	N
hsa-mir-101-2	381	97.289504	N	848	166.245107	N	722	131.825026	N	451	136.466392	N	347	87.443889	N
hsa-mir-103-1	266461	68041.623565	Y	372740	73073.350556	Y	382477	69833.851170	Y	228440	69122.799479	Y	181419	45717.530030	Y
