miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	35398	8745.952298	N
hsa-let-7a-2	35251	8709.632308	Y
hsa-let-7a-3	35715	8824.274996	N
hsa-let-7b	43215	10677.335684	N
hsa-let-7c	33830	8358.539077	Y
hsa-let-7d	4940	1220.549306	N
hsa-let-7e	10816	2672.360587	N
hsa-let-7f-1	10862	2683.726026	N
hsa-let-7f-2	10714	2647.158961	N
hsa-let-7g	3865	954.943941	N
hsa-let-7i	1834	453.135107	N
hsa-mir-100	45664	11282.421767	Y
hsa-mir-101-1	90708	22411.657185	N
hsa-mir-101-2	90835	22443.035679	N
hsa-mir-103a-1	96800	23916.836613	Y
hsa-mir-103a-2	97600	24114.496420	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	467	115.383912	N
hsa-mir-105-2	425	105.006772	N
hsa-mir-106a	99	24.460401	Y
hsa-mir-106b	1416	349.857858	N
hsa-mir-107	1371	338.739494	Y
hsa-mir-10a	1329	328.362354	N
hsa-mir-10b	1873	462.771022	N
hsa-mir-1-1	61	15.071560	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	24	5.929794	N
hsa-mir-1180	1108	273.758832	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	34	8.400542	N
hsa-mir-1185-2	24	5.929794	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	24	5.929794	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	64	15.812785	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.988299	N
hsa-mir-1224	321	79.310997	N
hsa-mir-1225	10	2.470748	N
hsa-mir-1226	20	4.941495	N
hsa-mir-1227	5	1.235374	N
hsa-mir-1228	15	3.706121	N
hsa-mir-1229	46	11.365439	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.247075	N
hsa-mir-1236	1	0.247075	N
hsa-mir-1237	1	0.247075	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	9037	2232.814592	N
hsa-mir-124-2	9093	2246.650778	N
hsa-mir-1243	7	1.729523	N
hsa-mir-124-3	9050	2236.026564	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	86	21.248429	N
hsa-mir-1248	2	0.494150	N
hsa-mir-1249	208	51.391550	N
hsa-mir-1250	5	1.235374	N
hsa-mir-1251	172	42.496858	N
hsa-mir-1252	3	0.741224	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.247075	N
hsa-mir-1255a	3	0.741224	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.247075	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	181	44.720531	N
hsa-mir-125a	5752	1421.174010	N
hsa-mir-125b-1	12458	3078.057340	N
hsa-mir-125b-2	13304	3287.082586	N
hsa-mir-126	16718	4130.595811	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.494150	N
