miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	63415	8111.302703	N
hsa-let-7a-2	63388	8107.849180	Y
hsa-let-7a-3	63910	8174.617295	N
hsa-let-7b	113467	14513.367245	N
hsa-let-7c	73812	9441.164948	Y
hsa-let-7d	3207	410.201810	N
hsa-let-7e	11072	1416.200324	N
hsa-let-7f-1	18007	2303.244150	N
hsa-let-7f-2	18354	2347.628319	N
hsa-let-7g	4511	576.994189	N
hsa-let-7i	3018	386.027148	N
hsa-mir-100	85673	10958.284893	Y
hsa-mir-101-1	63267	8092.372280	N
hsa-mir-101-2	64378	8234.478364	N
hsa-mir-103a-1	81401	10411.860780	Y
hsa-mir-103a-2	81970	10484.640584	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	390	49.884224	N
hsa-mir-105-2	379	48.477233	N
hsa-mir-106a	171	21.872314	Y
hsa-mir-106b	3702	473.516402	N
hsa-mir-107	702	89.791603	Y
hsa-mir-10a	350	44.767893	N
hsa-mir-10b	369382	47247.011200	N
hsa-mir-1-1	24	3.069798	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	17	2.174441	N
hsa-mir-1180	877	112.175549	N
hsa-mir-1181	1	0.127908	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	1.406991	N
hsa-mir-1185-2	12	1.534899	N
hsa-mir-1193	3	0.383725	N
hsa-mir-1197	14	1.790716	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	23	2.941890	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	113	14.453634	N
hsa-mir-1225	5	0.639541	N
hsa-mir-1226	9	1.151174	N
hsa-mir-1227	5	0.639541	N
hsa-mir-1228	8	1.023266	N
hsa-mir-1229	41	5.244239	N
hsa-mir-1231	1	0.127908	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.127908	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2157	275.898130	N
hsa-mir-124-2	2228	284.979617	N
hsa-mir-1243	3	0.383725	N
hsa-mir-124-3	2294	293.421563	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	21	2.686074	N
hsa-mir-1248	4	0.511633	N
hsa-mir-1249	297	37.988755	N
hsa-mir-1250	18	2.302349	N
hsa-mir-1251	197	25.197928	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.255817	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.383725	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	24	3.069798	N
hsa-mir-125a	5180	662.564819	N
hsa-mir-125b-1	19064	2438.443188	N
hsa-mir-125b-2	19455	2488.455320	N
hsa-mir-126	9050	1157.569809	N
hsa-mir-1260a	2	0.255817	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	2.174441	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	14	1.790716	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	14	1.790716	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11	1.406991	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	29571	3782.375341	N
hsa-mir-1270	6	0.767450	N
hsa-mir-1271	130	16.628075	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.383725	N
hsa-mir-1276	4	0.511633	N
hsa-mir-1277	4	0.511633	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	18559	2373.849513	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	13272	1697.598510	N
hsa-mir-1283-1	1	0.127908	N
hsa-mir-1283-2	1	0.127908	N
hsa-mir-1284	2	0.255817	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.383725	N
hsa-mir-1287	186	23.790938	N
hsa-mir-1288	7	0.895358	N
hsa-mir-1289-1	1	0.127908	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.255817	N
hsa-mir-129-1	6669	853.020228	N
hsa-mir-1292	5	0.639541	N
hsa-mir-129-2	8064	1031.452259	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.127908	N
hsa-mir-1295a	1	0.127908	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	945	120.873312	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	208	26.604919	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	218	27.884002	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
