miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	212402	14867.988347	N
hsa-let-7a-2	212079	14845.378577	Y
hsa-let-7a-3	213326	14932.667687	N
hsa-let-7b	204610	14322.553910	N
hsa-let-7c	246487	17253.914010	Y
hsa-let-7d	7506	525.414641	N
hsa-let-7e	17592	1231.427439	N
hsa-let-7f-1	209224	14645.530616	N
hsa-let-7f-2	212887	14901.938000	N
hsa-let-7g	16362	1145.328318	N
hsa-let-7i	6724	470.675199	N
hsa-mir-100	279600	19571.800368	Y
hsa-mir-101-1	126581	8860.579622	N
hsa-mir-101-2	127876	8951.228697	N
hsa-mir-103a-1	131976	9238.225770	Y
hsa-mir-103a-2	132709	9289.535247	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	146	10.219896	N
hsa-mir-105-2	151	10.569892	N
hsa-mir-106a	422	29.539699	Y
hsa-mir-106b	14432	1010.229696	N
hsa-mir-107	1443	101.008970	Y
hsa-mir-10a	1500	104.998929	N
hsa-mir-10b	733883	51371.286013	N
hsa-mir-1-1	60	4.199957	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	30	2.099979	N
hsa-mir-1180	743	52.009470	N
hsa-mir-1181	2	0.139999	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.419996	N
hsa-mir-1185-2	1	0.069999	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.279997	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	70	4.899950	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	18	1.259987	N
hsa-mir-1224	43	3.009969	N
hsa-mir-1225	3	0.209998	N
hsa-mir-1226	40	2.799971	N
hsa-mir-1227	1	0.069999	N
hsa-mir-1228	9	0.629994	N
hsa-mir-1229	6	0.419996	N
hsa-mir-1231	1	0.069999	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.069999	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.139999	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	682	47.739513	N
hsa-mir-124-2	729	51.029479	N
hsa-mir-1243	10	0.699993	N
hsa-mir-124-3	690	48.299507	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	38	2.659973	N
hsa-mir-1248	10	0.699993	N
hsa-mir-1249	77	5.389945	N
hsa-mir-1250	9	0.629994	N
hsa-mir-1251	33	2.309976	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.069999	N
hsa-mir-1257	1	0.069999	N
hsa-mir-1258	7	0.489995	N
hsa-mir-125a	5037	352.586404	N
hsa-mir-125b-1	48388	3387.125451	N
hsa-mir-125b-2	49518	3466.224645	N
hsa-mir-126	9878	691.452947	N
hsa-mir-1260a	2	0.139999	N
hsa-mir-1260b	1	0.069999	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	34	2.379976	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.209998	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	13	0.909991	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	239	16.729829	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	7007	490.484997	N
hsa-mir-1270	40	2.799971	N
hsa-mir-1271	113	7.909919	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.069999	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.209998	N
hsa-mir-1276	20	1.399986	N
hsa-mir-1277	16	1.119989	N
