miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	58287	10003.511449	N
hsa-let-7a-2	58433	10028.568712	Y
hsa-let-7a-3	57689	9900.879647	N
hsa-let-7b	74300	12751.743968	N
hsa-let-7c	63301	10864.039636	Y
hsa-let-7d	2513	431.293844	N
hsa-let-7e	5955	1022.027393	N
hsa-let-7f-1	25717	4413.682364	N
hsa-let-7f-2	26214	4498.980032	N
hsa-let-7g	2591	444.680601	N
hsa-let-7i	1286	220.709862	N
hsa-mir-100	45180	7754.021433	Y
hsa-mir-101-1	10054	1725.518625	N
hsa-mir-101-2	10258	1760.530143	N
hsa-mir-103a-1	47119	8086.802477	Y
hsa-mir-103a-2	47573	8164.720267	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	231	39.645395	N
hsa-mir-105-2	268	45.995523	N
hsa-mir-106a	85	14.588132	Y
hsa-mir-106b	1539	264.131009	N
hsa-mir-107	146	25.057263	Y
hsa-mir-10a	269	46.167148	N
hsa-mir-10b	312548	53641.077709	N
hsa-mir-1-1	16	2.746001	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.686500	N
hsa-mir-1180	178	30.549265	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.171625	N
hsa-mir-1185-2	2	0.343250	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	14	2.402751	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.171625	N
hsa-mir-1224	1	0.171625	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	2.231126	N
hsa-mir-1227	1	0.171625	N
hsa-mir-1228	1	0.171625	N
hsa-mir-1229	3	0.514875	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	30	5.148753	N
hsa-mir-124-2	47	8.066379	N
hsa-mir-1243	3	0.514875	N
hsa-mir-124-3	16	2.746001	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	0.858125	N
hsa-mir-1248	20	3.432502	N
hsa-mir-1249	15	2.574376	N
hsa-mir-1250	2	0.343250	N
hsa-mir-1251	16	2.746001	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.343250	N
hsa-mir-1254-2	2	0.343250	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.171625	N
hsa-mir-125a	2773	475.916366	N
hsa-mir-125b-1	13102	2248.631891	N
hsa-mir-125b-2	13470	2311.789923	N
hsa-mir-126	4257	730.607996	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	28	4.805502	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.858125	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	7420	1273.458146	N
hsa-mir-1270	21	3.604127	N
hsa-mir-1271	30	5.148753	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.171625	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	8	1.373001	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1060	181.922592	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	582	99.885801	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.514875	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	64	10.984006	N
hsa-mir-1288	1	0.171625	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.343250	N
hsa-mir-129-1	124	21.281511	N
hsa-mir-1292	2	0.343250	N
hsa-mir-129-2	133	22.826137	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	117	20.080135	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.171625	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	110	18.878760	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	2	0.343250	N
hsa-mir-1306	66	11.327256	N
hsa-mir-1307	4476	768.193890	N
hsa-mir-130a	471	80.835416	N
hsa-mir-130b	187	32.093891	N
hsa-mir-132	326	55.949778	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	9	1.544626	N
hsa-mir-133a-2	17	2.917626	Y
hsa-mir-133b	2	0.343250	Y
hsa-mir-134	4015	689.074725	N
hsa-mir-1343	5	0.858125	N
hsa-mir-135a-1	136	23.341012	N
hsa-mir-135a-2	118	20.251760	N
hsa-mir-135b	3	0.514875	N
hsa-mir-136	207	35.526393	N
hsa-mir-137	41	7.036629	N
hsa-mir-138-1	26	4.462252	N
hsa-mir-138-2	19	3.260877	N
hsa-mir-139	518	88.901795	N
hsa-mir-140	6628	1137.531077	N
hsa-mir-141	22	3.775752	N
hsa-mir-142	1647	282.666518	N
hsa-mir-143	11324	1943.482486	N
hsa-mir-144	798	136.956819	N
hsa-mir-145	557	95.595173	N
hsa-mir-1468	17	2.917626	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	123	21.109886	N
hsa-mir-146b	977	167.677710	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.171625	N
hsa-mir-148a	12055	2068.940424	N
hsa-mir-148b	324	55.606528	N
hsa-mir-149	833	142.963698	N
hsa-mir-150	199	34.153392	N
hsa-mir-151a	6853	1176.146722	N
hsa-mir-151b	8	1.373001	N
hsa-mir-152	182	31.235766	N
hsa-mir-153-1	46	7.894754	N
hsa-mir-153-2	599	102.803427	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	93	15.961133	N
hsa-mir-155	262	44.965773	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1014	174.027838	N
hsa-mir-15b	900	154.462578	N
hsa-mir-16-1	990	169.908836	N
hsa-mir-16-2	909	156.007204	N
hsa-mir-17	3170	544.051526	Y
hsa-mir-181a-1	16429	2819.628555	N
hsa-mir-181a-2	28016	4808.248439	N
hsa-mir-181b-1	4254	730.093120	N
hsa-mir-181b-2	4300	737.987874	N
hsa-mir-181c	1469	252.117253	N
hsa-mir-181d	643	110.354931	N
hsa-mir-182	30197	5182.562754	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	7746	1329.407924	N
hsa-mir-184	9	1.544626	N
hsa-mir-185	320	54.920028	N
hsa-mir-186	1103	189.302471	N
hsa-mir-187	29	4.977128	N
hsa-mir-188	3	0.514875	N
hsa-mir-18a	59	10.125880	N
hsa-mir-18b	3	0.514875	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	17	2.917626	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	1692	290.389647	N
hsa-mir-1910	1	0.171625	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	533	91.476171	Y
hsa-mir-193a	156	26.773514	N
hsa-mir-193b	196	33.638517	N
hsa-mir-194-1	132	22.654511	N
hsa-mir-194-2	148	25.400513	N
hsa-mir-195	409	70.194661	N
hsa-mir-196a-1	3	0.514875	N
hsa-mir-196a-2	8	1.373001	N
hsa-mir-196b	1976	339.131172	N
hsa-mir-197	3572	613.044811	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	19	3.260877	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	48	8.238004	Y
hsa-mir-199a-2	75	12.871882	Y
hsa-mir-199b	78	13.386757	Y
hsa-mir-19a	189	32.437141	N
hsa-mir-19b-1	365	62.643157	N
hsa-mir-19b-2	345	59.210655	N
hsa-mir-200a	9	1.544626	N
hsa-mir-200b	11	1.887876	N
hsa-mir-200c	198	33.981767	N
hsa-mir-202	1	0.171625	N
hsa-mir-203a	102	17.505759	N
hsa-mir-203b	3	0.514875	N
hsa-mir-204	59	10.125880	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.171625	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	3	0.514875	N
hsa-mir-20a	2048	351.488178	N
hsa-mir-20b	212	36.384518	N
hsa-mir-21	723101	124102.272076	N
hsa-mir-210	517	88.730170	N
hsa-mir-211	1	0.171625	N
hsa-mir-2110	7	1.201376	N
hsa-mir-2113	2	0.343250	N
hsa-mir-2114	3	0.514875	N
hsa-mir-2115	11	1.887876	N
hsa-mir-2116	1	0.171625	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	11	1.887876	N
hsa-mir-214	1	0.171625	N
hsa-mir-215	5	0.858125	Y
hsa-mir-216a	727	124.771438	N
hsa-mir-216b	898	154.119328	N
hsa-mir-217	101823	17475.381239	N
hsa-mir-218-1	188	32.265516	N
hsa-mir-218-2	182	31.235766	N
hsa-mir-219a-1	185	31.750641	N
hsa-mir-219a-2	17380	2982.844013	N
hsa-mir-219b	2	0.343250	N
hsa-mir-22	244489	41960.445909	N
hsa-mir-221	159	27.288389	N
hsa-mir-222	55	9.439380	N
hsa-mir-223	552	94.737048	N
hsa-mir-224	13	2.231126	N
hsa-mir-2276	7	1.201376	N
hsa-mir-2277	8	1.373001	N
hsa-mir-2278	2	0.343250	N
hsa-mir-2355	306	52.517277	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	2744	470.939239	Y
hsa-mir-23b	3402	583.868546	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	1354	232.380368	N
hsa-mir-24-2	1294	222.082863	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	28283	4854.072337	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	2	0.343250	N
hsa-mir-26a-1	14304	2454.925245	N
hsa-mir-26a-2	14759	2533.014660	N
hsa-mir-26b	1571	269.623012	N
hsa-mir-27a	1191	204.405479	Y
hsa-mir-27b	4632	794.967403	Y
hsa-mir-28	12804	2197.487615	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	38	6.521753	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	50	8.581254	N
hsa-mir-29a	12057	2069.283675	N
hsa-mir-29b-1	865	148.455700	N
hsa-mir-29b-2	981	168.364210	N
hsa-mir-29c	2274	390.275448	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	154	26.430263	N
hsa-mir-301b	9	1.544626	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.171625	N
hsa-mir-3065	503	86.327419	N
hsa-mir-3074	191	32.780392	N
hsa-mir-30a	102306	17558.276156	N
hsa-mir-30b	1040	178.490091	N
hsa-mir-30c-1	2435	417.907087	N
hsa-mir-30c-2	2887	495.481626	N
hsa-mir-30d	16198	2779.983160	N
hsa-mir-30e	39720	6816.948458	N
hsa-mir-31	1	0.171625	N
hsa-mir-3115	2	0.343250	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	7	1.201376	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	1	0.171625	N
hsa-mir-3125	1	0.171625	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	39	6.693378	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	3	0.514875	N
hsa-mir-3130-1	2	0.343250	N
hsa-mir-3130-2	2	0.343250	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	5	0.858125	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	1	0.171625	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	1	0.171625	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	1	0.171625	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	1	0.171625	N
hsa-mir-3152	1	0.171625	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	2	0.343250	N
hsa-mir-3158-1	0	0.000000	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	3	0.514875	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	5	0.858125	N
hsa-mir-3174	2	0.343250	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	1	0.171625	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	2	0.343250	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	0	0.000000	N
hsa-mir-3188	0	0.000000	N
hsa-mir-3189	0	0.000000	N
