miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	120660	12062.546493	N
hsa-let-7a-2	120855	12082.040912	Y
hsa-let-7a-3	121071	12103.634729	N
hsa-let-7b	135545	13550.620457	N
hsa-let-7c	101926	10189.682694	Y
hsa-let-7d	2997	299.614220	N
hsa-let-7e	16460	1645.528885	N
hsa-let-7f-1	35909	3589.872220	N
hsa-let-7f-2	36245	3623.462603	N
hsa-let-7g	5286	528.448705	N
hsa-let-7i	2108	210.739665	N
hsa-mir-100	73309	7328.801764	Y
hsa-mir-101-1	73192	7317.105113	N
hsa-mir-101-2	73849	7382.786308	N
hsa-mir-103a-1	91193	9116.689892	Y
hsa-mir-103a-2	90998	9097.195473	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	347	34.690068	N
hsa-mir-105-2	377	37.689210	N
hsa-mir-106a	167	16.695220	Y
hsa-mir-106b	3468	346.700740	N
hsa-mir-107	670	66.980823	Y
hsa-mir-10a	220	21.993703	N
hsa-mir-10b	7743	774.078381	N
hsa-mir-1-1	42	4.198798	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	20	1.999428	N
hsa-mir-1180	892	89.174469	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.799771	N
hsa-mir-1185-2	6	0.599828	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.599828	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	33	3.299055	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.199943	N
hsa-mir-1224	108	10.796909	N
hsa-mir-1225	5	0.499857	N
hsa-mir-1226	20	1.999428	N
hsa-mir-1227	6	0.599828	N
hsa-mir-1228	14	1.399599	N
hsa-mir-1229	14	1.399599	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.099971	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1265	126.463793	N
hsa-mir-124-2	1253	125.264137	N
hsa-mir-1243	6	0.599828	N
hsa-mir-124-3	1169	116.866541	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	61	6.098254	N
hsa-mir-1248	2	0.199943	N
hsa-mir-1249	205	20.494133	N
hsa-mir-1250	2	0.199943	N
hsa-mir-1251	93	9.297338	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.099971	N
hsa-mir-1255a	3	0.299914	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	14	1.399599	N
hsa-mir-125a	4862	486.060841	N
hsa-mir-125b-1	16386	1638.131003	N
hsa-mir-125b-2	17308	1730.304614	N
hsa-mir-126	8404	840.159462	N
hsa-mir-1260a	1	0.099971	N
hsa-mir-1260b	1	0.099971	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	1.599542	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.299914	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.399886	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	26	2.599256	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	18639	1863.366518	N
hsa-mir-1270	17	1.699513	N
hsa-mir-1271	92	9.197367	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	11	1.099685	N
hsa-mir-1276	7	0.699800	N
hsa-mir-1277	7	0.699800	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	16138	1613.338101	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	10684	1068.094205	N
hsa-mir-1283-1	1	0.099971	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.299914	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.099971	N
hsa-mir-1287	164	16.395306	N
hsa-mir-1288	5	0.499857	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.399886	N
hsa-mir-129-1	4230	422.878930	N
hsa-mir-1292	3	0.299914	N
hsa-mir-129-2	4770	476.863474	N
hsa-mir-1293	1	0.099971	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.099971	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	507	50.685489	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	90	8.997424	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	193	19.294476	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.199943	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	171	17.095106	N
hsa-mir-1307	10286	1028.305596	N
hsa-mir-130a	585	58.483256	N
hsa-mir-130b	346	34.590097	N
hsa-mir-132	3850	384.889806	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	47	4.698655	Y
hsa-mir-133a-2	39	3.898884	Y
hsa-mir-133b	5	0.499857	Y
hsa-mir-134	4162	416.080876	N
hsa-mir-1343	28	2.799199	N
hsa-mir-135a-1	284	28.391871	N
hsa-mir-135a-2	187	18.694648	N
hsa-mir-135b	4	0.399886	N
hsa-mir-136	1470	146.957926	N
hsa-mir-137	612	61.182483	N
hsa-mir-138-1	256	25.592673	N
hsa-mir-138-2	204	20.394161	N
hsa-mir-139	7339	733.689945	N
hsa-mir-140	11232	1122.878520	N
hsa-mir-141	16	1.599542	N
hsa-mir-142	2815	281.419430	N
hsa-mir-143	58842	5882.515836	N
hsa-mir-144	1083	108.269003	N
hsa-mir-145	1411	141.059615	N
hsa-mir-1468	41	4.098827	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	69	6.898025	N
hsa-mir-146b	959	95.872552	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.099971	N
hsa-mir-148a	5590	558.840004	N
hsa-mir-148b	613	61.282455	N
hsa-mir-149	1173	117.266427	N
hsa-mir-150	668	66.780881	N
hsa-mir-151a	11640	1163.666842	N
hsa-mir-151b	12	1.199657	N
hsa-mir-152	1589	158.854520	N
hsa-mir-153-1	268	26.792329	N
hsa-mir-153-2	2854	285.318313	N
hsa-mir-1537	1	0.099971	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	192	19.194505	N
hsa-mir-155	76	7.597825	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1665	166.452345	N
hsa-mir-15b	500	49.985689	N
hsa-mir-16-1	1729	172.850513	N
hsa-mir-16-2	1647	164.652860	N
hsa-mir-17	4587	458.568712	Y
hsa-mir-181a-1	37837	3782.617037	N
hsa-mir-181a-2	66621	6660.193187	N
hsa-mir-181b-1	4612	461.067996	N
hsa-mir-181b-2	4492	449.071431	N
hsa-mir-181c	9280	927.734390	N
hsa-mir-181d	1063	106.269575	N
hsa-mir-182	36519	3650.854760	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	12813	1280.933269	N
hsa-mir-184	143	14.295907	N
hsa-mir-185	759	75.878276	N
hsa-mir-186	1564	156.355235	N
hsa-mir-187	51	5.098540	N
hsa-mir-188	27	2.699227	N
hsa-mir-18a	37	3.698941	N
hsa-mir-18b	3	0.299914	N
hsa-mir-1908	6	0.599828	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	54	5.398454	N
hsa-mir-190b	2	0.199943	N
hsa-mir-191	2724	272.322034	N
hsa-mir-1910	1	0.099971	N
hsa-mir-1911	1	0.099971	N
hsa-mir-1912	17	1.699513	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	3	0.299914	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2546	254.527129	Y
hsa-mir-193a	685	68.480394	N
hsa-mir-193b	372	37.189353	N
hsa-mir-194-1	325	32.490698	N
hsa-mir-194-2	424	42.387864	N
hsa-mir-195	629	62.881997	N
hsa-mir-196a-1	0	0.000000	N
hsa-mir-196a-2	1	0.099971	N
hsa-mir-196b	31	3.099113	N
hsa-mir-197	8980	897.742976	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	33	3.299055	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	129	12.896308	Y
hsa-mir-199a-2	235	23.493274	Y
hsa-mir-199b	265	26.492415	Y
hsa-mir-19a	194	19.394447	N
hsa-mir-19b-1	510	50.985403	N
hsa-mir-19b-2	445	44.487263	N
hsa-mir-200a	14	1.399599	N
hsa-mir-200b	16	1.599542	N
hsa-mir-200c	53	5.298483	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	2579	257.826184	N
hsa-mir-203b	147	14.695793	N
hsa-mir-204	446	44.587235	N
hsa-mir-205	3	0.299914	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	12	1.199657	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	3	0.299914	N
hsa-mir-20a	2244	224.335773	N
hsa-mir-20b	538	53.784601	N
hsa-mir-21	150473	15042.993191	N
hsa-mir-210	1130	112.967657	N
hsa-mir-211	43	4.298769	N
hsa-mir-2110	26	2.599256	N
hsa-mir-2113	22	2.199370	N
hsa-mir-2114	9	0.899742	N
hsa-mir-2115	4	0.399886	N
hsa-mir-2116	3	0.299914	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	101	10.097109	N
hsa-mir-214	3	0.299914	N
hsa-mir-215	6	0.599828	Y
hsa-mir-216a	5	0.499857	N
hsa-mir-216b	2	0.199943	N
hsa-mir-217	209	20.894018	N
hsa-mir-218-1	713	71.279593	N
hsa-mir-218-2	798	79.777160	N
hsa-mir-219a-1	328	32.790612	N
hsa-mir-219a-2	31574	3156.496295	N
hsa-mir-219b	3	0.299914	N
hsa-mir-22	372953	37284.625412	N
hsa-mir-221	731	73.079077	N
hsa-mir-222	162	16.195363	N
hsa-mir-223	1405	140.459786	N
hsa-mir-224	17	1.699513	N
hsa-mir-2276	1	0.099971	N
hsa-mir-2277	10	0.999714	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	466	46.586662	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	8003	800.070940	Y
hsa-mir-23b	4776	477.463302	Y
hsa-mir-23c	1	0.099971	N
hsa-mir-24-1	4324	432.276239	N
hsa-mir-24-2	4404	440.273950	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	37200	3718.935269	N
hsa-mir-2681	3	0.299914	N
hsa-mir-2682	9	0.899742	N
hsa-mir-26a-1	8148	814.566790	N
hsa-mir-26a-2	8070	806.769022	N
hsa-mir-26b	5994	599.228441	N
hsa-mir-27a	3142	314.110070	Y
hsa-mir-27b	7333	733.090116	Y
hsa-mir-28	11328	1132.475772	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	73	7.297911	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	60	5.998283	N
hsa-mir-29a	87657	8763.191098	N
hsa-mir-29b-1	4322	432.076297	Y
hsa-mir-29b-2	4876	487.460440	Y
hsa-mir-29c	24487	2447.999138	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	470	46.986548	N
hsa-mir-301b	10	0.999714	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	1	0.099971	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	7	0.699800	N
hsa-mir-3065	3750	374.892668	N
hsa-mir-3074	118	11.796623	N
hsa-mir-30a	297355	29726.989163	Y
hsa-mir-30b	2716	271.522263	Y
hsa-mir-30c-1	4829	482.761785	Y
hsa-mir-30c-2	5561	555.940834	Y
