miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	33765	3906.196675	N
hsa-let-7a-2	33822	3912.790877	N
hsa-let-7a-3	34382	3977.576013	N
hsa-let-7b	33655	3893.471023	N
hsa-let-7c	27731	3208.136828	N
hsa-let-7d	1989	230.102923	N
hsa-let-7e	6366	736.468178	N
hsa-let-7f-1	13619	1575.551385	N
hsa-let-7f-2	13980	1617.314661	N
hsa-let-7g	2270	262.611179	N
hsa-let-7i	3544	409.997365	N
hsa-mir-100	32855	3800.920828	N
hsa-mir-101-1	16246	1879.463089	N
hsa-mir-101-2	16542	1913.706661	N
hsa-mir-103a-1	65120	7533.585887	Y
hsa-mir-103a-2	64866	7504.201200	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	366	42.341714	N
hsa-mir-105-2	342	39.565208	N
hsa-mir-106a	85	9.833458	Y
hsa-mir-106b	1343	155.368640	N
hsa-mir-107	180	20.823794	Y
hsa-mir-10a	139	16.080596	N
hsa-mir-10b	101222	11710.144820	N
hsa-mir-1-1	7	0.809814	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.462751	N
hsa-mir-1180	160	18.510039	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.462751	N
hsa-mir-1185-2	1	0.115688	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.115688	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	4	0.462751	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.115688	N
hsa-mir-1224	31	3.586320	N
hsa-mir-1225	2	0.231375	N
hsa-mir-1226	9	1.041190	N
hsa-mir-1227	1	0.115688	N
hsa-mir-1228	9	1.041190	N
hsa-mir-1229	6	0.694126	N
hsa-mir-1231	1	0.115688	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	135	15.617845	N
hsa-mir-124-2	96	11.106023	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	106	12.262901	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	11	1.272565	N
hsa-mir-1248	4	0.462751	N
hsa-mir-1249	43	4.974573	N
hsa-mir-1250	6	0.694126	N
hsa-mir-1251	38	4.396134	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.115688	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	6	0.694126	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.231375	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	1.156877	N
hsa-mir-125a	3896	450.719451	N
hsa-mir-125b-1	7412	857.477558	N
hsa-mir-125b-2	7834	906.297786	N
hsa-mir-126	5147	595.444818	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.503941	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.115688	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.694126	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.462751	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2581	298.590067	N
hsa-mir-1270	4	0.462751	N
hsa-mir-1271	31	3.586320	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.115688	N
hsa-mir-1277	3	0.347063	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	2391	276.609396	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	1258	145.535182	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.347063	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	54	6.247138	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	0.694126	N
hsa-mir-129-1	287	33.202383	N
hsa-mir-1292	1	0.115688	N
hsa-mir-129-2	321	37.135766	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	459	53.100674	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	13	1.503941	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	183	21.170857	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.231375	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	82	9.486395	N
hsa-mir-1307	5430	628.184450	N
hsa-mir-130a	386	44.655469	N
hsa-mir-130b	139	16.080596	N
hsa-mir-132	812	93.938448	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.115688	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	14	1.619628	Y
hsa-mir-133a-2	8	0.925502	N
hsa-mir-133b	3	0.347063	Y
hsa-mir-134	1070	123.785886	N
hsa-mir-1343	4	0.462751	N
hsa-mir-135a-1	295	34.127884	N
hsa-mir-135a-2	245	28.343497	N
hsa-mir-135b	4	0.462751	N
hsa-mir-136	150	17.353162	N
hsa-mir-137	122	14.113905	N
hsa-mir-138-1	113	13.072715	N
hsa-mir-138-2	60	6.941265	N
hsa-mir-139	918	106.201349	N
hsa-mir-140	6271	725.477842	N
hsa-mir-141	22	2.545130	N
hsa-mir-142	874	101.111088	N
hsa-mir-143	15432	1785.293265	N
hsa-mir-144	266	30.772940	N
hsa-mir-145	1445	167.168790	N
hsa-mir-1468	28	3.239257	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	52	6.015763	N
hsa-mir-146b	639	73.924468	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	4552	526.610611	N
hsa-mir-148b	352	40.722086	N
hsa-mir-149	552	63.859635	N
hsa-mir-150	240	27.765059	N
hsa-mir-151a	5071	586.652550	N
hsa-mir-151b	11	1.272565	N
hsa-mir-152	334	38.639706	N
hsa-mir-153-1	138	15.964909	N
hsa-mir-153-2	1269	146.807747	N
hsa-mir-1537	1	0.115688	N
hsa-mir-1538	1	0.115688	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	41	4.743198	N
hsa-mir-155	129	14.923719	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	639	73.924468	N
hsa-mir-15b	272	31.467066	N
hsa-mir-16-1	551	63.743947	N
hsa-mir-16-2	512	59.232125	N
hsa-mir-17	1691	195.627975	Y
hsa-mir-181a-1	18204	2105.979691	N
