miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	123346	16947.489794	N
hsa-let-7a-2	123648	16988.983980	Y
hsa-let-7a-3	124496	17105.497458	N
hsa-let-7b	325103	44668.491678	N
hsa-let-7c	72381	9945.002341	Y
hsa-let-7d	4373	600.841315	N
hsa-let-7e	12611	1732.725778	N
hsa-let-7f-1	39835	5473.248066	N
hsa-let-7f-2	40241	5529.031641	N
hsa-let-7g	4426	608.123408	N
hsa-let-7i	4039	554.950394	N
hsa-mir-100	58179	7993.676396	Y
hsa-mir-101-1	42232	5802.590996	N
hsa-mir-101-2	42709	5868.129827	N
hsa-mir-103a-1	106600	14646.623417	Y
hsa-mir-103a-2	107351	14749.809292	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	124	17.037348	N
hsa-mir-105-2	103	14.151991	N
hsa-mir-106a	178	24.456838	Y
hsa-mir-106b	14098	1937.036557	N
hsa-mir-107	1252	172.022256	Y
hsa-mir-10a	907	124.619957	N
hsa-mir-10b	790290	108584.240343	N
hsa-mir-1-1	17	2.335765	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	125	17.174746	N
hsa-mir-1180	628	86.285924	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	16	2.198367	N
hsa-mir-1185-2	8	1.099184	N
hsa-mir-1193	3	0.412194	N
hsa-mir-1197	9	1.236582	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	9	1.236582	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.137398	N
hsa-mir-1224	105	14.426787	N
hsa-mir-1225	4	0.549592	N
hsa-mir-1226	15	2.060970	N
hsa-mir-1227	2	0.274796	N
hsa-mir-1228	10	1.373980	N
