miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	115177	14762.124053	N
hsa-let-7a-2	115463	14798.780395	Y
hsa-let-7a-3	116397	14918.490266	N
hsa-let-7b	171803	22019.823391	N
hsa-let-7c	133553	17117.358098	Y
hsa-let-7d	3050	390.915533	N
hsa-let-7e	16713	2142.088953	N
hsa-let-7f-1	24498	3139.884830	N
hsa-let-7f-2	24548	3146.293281	N
hsa-let-7g	4499	576.632454	N
hsa-let-7i	3884	497.808502	N
hsa-mir-100	74304	9523.471402	Y
hsa-mir-101-1	40647	5209.686451	N
hsa-mir-101-2	41309	5294.534347	N
hsa-mir-103a-1	58117	7448.799357	Y
hsa-mir-103a-2	58421	7487.762742	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	226	28.966200	N
hsa-mir-105-2	220	28.197186	N
hsa-mir-106a	95	12.176058	Y
hsa-mir-106b	2989	383.097222	N
hsa-mir-107	388	49.729583	Y
hsa-mir-10a	104	13.329579	N
hsa-mir-10b	1514	194.047907	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.384507	N
hsa-mir-1180	788	100.997193	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.384507	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	4	0.512676	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.128169	N
hsa-mir-1224	13	1.666197	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	26	3.332395	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	0.897183	N
hsa-mir-1229	4	0.512676	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.128169	N
hsa-mir-1238	1	0.128169	N
hsa-mir-124-1	90	11.535212	N
hsa-mir-124-2	101	12.945072	N
hsa-mir-1243	5	0.640845	N
hsa-mir-124-3	80	10.253522	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	46	5.895775	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	98	12.560565	N
hsa-mir-1250	6	0.769014	N
hsa-mir-1251	291	37.297187	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.128169	N
hsa-mir-1254-2	2	0.256338	N
hsa-mir-1255a	3	0.384507	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.128169	N
hsa-mir-125a	6166	790.290222	N
hsa-mir-125b-1	21059	2699.111545	N
hsa-mir-125b-2	22142	2837.918602	N
hsa-mir-126	3334	427.315537	N
hsa-mir-1260a	1	0.128169	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	40	5.126761	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.128169	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.640845	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.512676	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3150	403.732436	N
hsa-mir-1270	9	1.153521	N
hsa-mir-1271	143	18.328171	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	10	1.281690	N
hsa-mir-1276	11	1.409859	N
hsa-mir-1277	2	0.256338	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	1	0.128169	N
hsa-mir-128-1	3766	482.684557	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	2332	298.890172	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.512676	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.256338	N
hsa-mir-1287	71	9.100001	N
hsa-mir-1288	3	0.384507	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.256338	N
hsa-mir-129-1	797	102.150715	N
hsa-mir-1292	2	0.256338	N
hsa-mir-129-2	989	126.759168	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	438	56.138034	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	73	9.356339	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	131	16.790143	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.128169	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	236	30.247890	N
hsa-mir-1307	6708	859.757835	N
hsa-mir-130a	666	85.360572	N
hsa-mir-130b	448	57.419724	N
hsa-mir-132	1119	143.421142	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	7	0.897183	Y
hsa-mir-133a-2	6	0.769014	N
hsa-mir-133b	1	0.128169	Y
hsa-mir-134	754	96.639447	N
hsa-mir-1343	43	5.511268	N
hsa-mir-135a-1	223	28.581693	N
hsa-mir-135a-2	140	17.943664	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	161	20.635213	N
hsa-mir-137	33	4.229578	N
hsa-mir-138-1	28	3.588733	N
hsa-mir-138-2	31	3.973240	N
hsa-mir-139	939	120.350717	N
hsa-mir-140	11167	1431.263527	N
hsa-mir-141	37	4.742254	N
hsa-mir-142	1425	182.640864	N
hsa-mir-143	33558	4301.096217	N
hsa-mir-144	510	65.366204	N
hsa-mir-145	794	101.766208	N
hsa-mir-1468	73	9.356339	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	48	6.152113	N
hsa-mir-146b	285	36.528173	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.128169	N
hsa-mir-148a	4702	602.650766	N
hsa-mir-148b	712	91.256347	N
hsa-mir-149	600	76.901416	N
hsa-mir-150	298	38.194370	N
hsa-mir-151a	14419	1848.069204	N
hsa-mir-151b	13	1.666197	N
hsa-mir-152	1286	164.825369	N
hsa-mir-153-1	75	9.612677	N
hsa-mir-153-2	1382	177.129596	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.256338	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	47	6.023944	N
hsa-mir-155	104	13.329579	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1140	146.112691	N
hsa-mir-15b	330	42.295779	N
hsa-mir-16-1	1001	128.297196	N
hsa-mir-16-2	950	121.760576	N
hsa-mir-17	5785	741.457823	Y
hsa-mir-181a-1	32105	4114.866620	N
hsa-mir-181a-2	53237	6823.334504	N
hsa-mir-181b-1	3790	485.760613	N
hsa-mir-181b-2	3853	493.835262	N
hsa-mir-181c	7147	916.024038	N
hsa-mir-181d	1003	128.553534	N
hsa-mir-182	9785	1254.133932	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	2720	348.619754	N
hsa-mir-184	177	22.685918	N
hsa-mir-185	895	114.711279	N
hsa-mir-186	1437	184.178892	N
hsa-mir-187	14	1.794366	N
hsa-mir-188	19	2.435212	N
hsa-mir-18a	24	3.076057	Y
hsa-mir-18b	3	0.384507	Y
hsa-mir-1908	4	0.512676	N
hsa-mir-1909	1	0.128169	N
hsa-mir-190a	15	1.922535	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	1926	246.853547	N
hsa-mir-1910	4	0.512676	N
hsa-mir-1911	7	0.897183	N
hsa-mir-1912	17	2.178873	N
hsa-mir-1913	1	0.128169	N
hsa-mir-1914	4	0.512676	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	3790	485.760613	Y
hsa-mir-193a	437	56.009865	N
hsa-mir-193b	244	31.273243	N
hsa-mir-194-1	461	59.085922	N
hsa-mir-194-2	533	68.314092	N
hsa-mir-195	482	61.777471	N
hsa-mir-196a-1	0	0.000000	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	67	8.587325	N
hsa-mir-197	7991	1024.198697	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	18	2.307042	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	94	12.047889	Y
hsa-mir-199a-2	120	15.380283	Y
hsa-mir-199b	143	18.328171	Y
hsa-mir-19a	130	16.661974	N
hsa-mir-19b-1	487	62.418316	N
hsa-mir-19b-2	446	57.163386	N
hsa-mir-200a	29	3.716902	N
hsa-mir-200b	19	2.435212	N
hsa-mir-200c	183	23.454932	N
hsa-mir-202	1	0.128169	N
hsa-mir-203a	250	32.042257	N
hsa-mir-203b	15	1.922535	N
hsa-mir-204	165	21.147889	N
hsa-mir-205	4	0.512676	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	5	0.640845	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	2	0.256338	N
hsa-mir-20a	3257	417.446522	N
hsa-mir-20b	482	61.777471	N
hsa-mir-21	91793	11765.019520	N
hsa-mir-210	1168	149.701424	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	15	1.922535	N
hsa-mir-2113	12	1.538028	N
hsa-mir-2114	59	7.561973	N
hsa-mir-2115	7	0.897183	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	43	5.511268	N
hsa-mir-214	0	0.000000	N
hsa-mir-215	21	2.691550	Y
hsa-mir-216a	4	0.512676	N
hsa-mir-216b	1	0.128169	N
hsa-mir-217	133	17.046481	N
hsa-mir-218-1	49	6.280282	N
hsa-mir-218-2	53	6.792958	N
hsa-mir-219a-1	237	30.376059	N
hsa-mir-219a-2	18295	2344.852354	N
hsa-mir-219b	6	0.769014	N
hsa-mir-22	222766	28551.701527	N
