miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	108195	19835.551644	N
hsa-let-7a-2	108249	19845.451545	Y
hsa-let-7a-3	108734	19934.367323	N
hsa-let-7b	158359	29032.193011	N
hsa-let-7c	41748	7653.723463	Y
hsa-let-7d	2515	461.078723	N
hsa-let-7e	13449	2465.625344	N
hsa-let-7f-1	22489	4122.942104	N
hsa-let-7f-2	22734	4167.858321	N
hsa-let-7g	3692	676.859898	N
hsa-let-7i	4392	805.191948	N
hsa-mir-100	62108	11386.352803	Y
hsa-mir-101-1	20748	3803.761962	N
hsa-mir-101-2	20774	3808.528581	N
hsa-mir-103a-1	30000	5499.945001	Y
hsa-mir-103a-2	29880	5477.945221	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.549995	N
hsa-mir-105-2	4	0.733326	N
hsa-mir-106a	246	45.099549	Y
hsa-mir-106b	5042	924.357423	N
hsa-mir-107	329	60.316064	Y
hsa-mir-10a	26942	4939.317273	N
hsa-mir-10b	184376	33801.928647	N
hsa-mir-1-1	4	0.733326	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	2.016647	N
hsa-mir-1180	226	41.432919	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.283321	N
hsa-mir-1185-2	2	0.366663	N
hsa-mir-1193	2	0.366663	N
hsa-mir-1197	2	0.366663	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.183332	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	1.466652	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	17	3.116636	N
hsa-mir-1227	1	0.183332	N
hsa-mir-1228	15	2.749973	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	25	4.583288	N
hsa-mir-124-2	23	4.216625	N
hsa-mir-1243	1	0.183332	N
hsa-mir-124-3	22	4.033293	N
