miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	117789	18545.503154	N
hsa-let-7a-2	117733	18536.686132	Y
hsa-let-7a-3	118454	18650.205287	N
hsa-let-7b	104162	16399.975375	N
hsa-let-7c	55830	8790.255805	Y
hsa-let-7d	2930	461.319174	N
hsa-let-7e	28824	4538.247060	N
hsa-let-7f-1	54626	8600.689837	N
hsa-let-7f-2	55477	8734.677079	N
hsa-let-7g	6031	949.561755	N
hsa-let-7i	3950	621.914928	N
hsa-mir-100	103606	16312.434945	N
hsa-mir-101-1	64983	10231.366523	N
hsa-mir-101-2	65935	10381.255893	N
hsa-mir-103a-1	154493	24324.431133	Y
hsa-mir-103a-2	155844	24537.141783	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	254	39.991492	N
hsa-mir-105-2	226	35.582981	N
hsa-mir-106a	261	41.093619	Y
hsa-mir-106b	4081	642.540461	N
hsa-mir-107	1343	211.451076	Y
hsa-mir-10a	23904	3763.608719	N
hsa-mir-10b	26432	4161.634273	N
hsa-mir-1-1	63	9.919149	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.944681	N
hsa-mir-1180	359	56.523407	N
hsa-mir-1181	3	0.472340	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.944681	N
hsa-mir-1185-2	7	1.102128	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.944681	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	55	8.659575	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.157447	N
hsa-mir-1224	168	26.451065	N
hsa-mir-1225	1	0.157447	N
hsa-mir-1226	19	2.991490	N
hsa-mir-1227	1	0.157447	N
hsa-mir-1228	7	1.102128	N
hsa-mir-1229	11	1.731915	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1118	176.025542	N
hsa-mir-124-2	1051	165.476605	N
hsa-mir-1243	2	0.314894	N
hsa-mir-124-3	1103	173.663839	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	48	7.557447	N
hsa-mir-1248	2	0.314894	N
hsa-mir-1249	46	7.242554	N
hsa-mir-1250	9	1.417021	N
hsa-mir-1251	52	8.187234	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.472340	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.157447	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.157447	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	15	2.361702	N
hsa-mir-125a	5492	864.697920	N
hsa-mir-125b-1	14233	2240.940549	N
hsa-mir-125b-2	14822	2333.676725	N
hsa-mir-126	8733	1374.983055	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.574468	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.472340	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	27	4.251064	N
hsa-mir-1267	1	0.157447	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8	1.259575	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	13621	2144.583097	N
hsa-mir-1270	13	2.046809	N
hsa-mir-1271	54	8.502128	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	6	0.944681	N
hsa-mir-1277	7	1.102128	N
hsa-mir-1278	1	0.157447	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	13353	2102.387350	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	9971	1569.902215	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	142	22.357448	N
hsa-mir-1288	1	0.157447	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.157447	N
hsa-mir-129-1	4087	643.485142	N
hsa-mir-1292	7	1.102128	N
hsa-mir-129-2	4292	675.761740	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	10	1.574468	N
hsa-mir-1295b	1	0.157447	N
hsa-mir-1296	207	32.591491	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	40	6.297873	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	141	22.200001	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.314894	N
hsa-mir-1305	1	0.157447	N
hsa-mir-1306	93	14.642554	N
hsa-mir-1307	4601	724.412806	N
hsa-mir-130a	646	101.710644	N
hsa-mir-130b	394	62.034046	N
hsa-mir-132	6631	1044.029845	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	61	9.604256	Y
hsa-mir-133a-2	48	7.557447	Y
hsa-mir-133b	8	1.259575	Y
hsa-mir-134	1636	257.582993	N
hsa-mir-1343	11	1.731915	N
hsa-mir-135a-1	80	12.595745	N
hsa-mir-135a-2	98	15.429788	N
hsa-mir-135b	9	1.417021	N
hsa-mir-136	903	142.174476	N
hsa-mir-137	1319	207.672352	N
hsa-mir-138-1	235	37.000002	N
hsa-mir-138-2	212	33.378725	N
hsa-mir-139	7063	1112.046870	N
hsa-mir-140	13532	2130.570331	N
hsa-mir-141	9	1.417021	N
hsa-mir-142	1122	176.655329	N
hsa-mir-143	92329	14536.907187	N
hsa-mir-144	608	95.727665	N
hsa-mir-145	1122	176.655329	N
hsa-mir-1468	54	8.502128	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	92	14.485107	N
hsa-mir-146b	4795	754.957489	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	40859	6433.119505	N
hsa-mir-148b	1291	203.263841	N
hsa-mir-149	776	122.178730	N
hsa-mir-150	473	74.472345	N
hsa-mir-151a	12580	1980.680961	N
hsa-mir-151b	28	4.408511	N
hsa-mir-152	1564	246.246822	N
hsa-mir-153-1	176	27.710640	N
hsa-mir-153-2	1636	257.582993	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.157447	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	147	23.144682	N
hsa-mir-155	544	85.651069	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2893	455.493642	N
hsa-mir-15b	1960	308.595762	N
hsa-mir-16-1	1688	265.770227	N
hsa-mir-16-2	1693	266.557462	N
hsa-mir-17	5003	787.706427	Y
hsa-mir-181a-1	31461	4953.434317	N
hsa-mir-181a-2	32827	5168.506669	N
hsa-mir-181b-1	5815	915.553242	N
hsa-mir-181b-2	5753	905.791539	N
hsa-mir-181c	6519	1026.395801	N
hsa-mir-181d	952	149.889370	N
hsa-mir-182	15081	2374.455451	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	6531	1028.285163	N
hsa-mir-184	150	23.617023	N
hsa-mir-185	1207	190.038308	N
hsa-mir-186	984	154.927668	N
hsa-mir-187	54	8.502128	N
hsa-mir-188	12	1.889362	N
hsa-mir-18a	38	5.982979	Y
hsa-mir-18b	5	0.787234	Y
hsa-mir-1908	1	0.157447	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	79	12.438299	N
hsa-mir-190b	2	0.314894	N
hsa-mir-191	2650	417.234066	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	2	0.314894	N
hsa-mir-1912	13	2.046809	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1493	235.068098	Y
hsa-mir-193a	1219	191.927670	N
hsa-mir-193b	348	54.791492	N
hsa-mir-194-1	296	46.604258	N
hsa-mir-194-2	381	59.987237	N
hsa-mir-195	585	92.106388	N
hsa-mir-196a-1	100	15.744682	N
hsa-mir-196a-2	110	17.319150	N
hsa-mir-196b	559	88.012771	N
hsa-mir-197	4333	682.217059	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	26	4.093617	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	206	32.434044	Y
hsa-mir-199a-2	288	45.344683	Y
hsa-mir-199b	379	59.672344	Y
hsa-mir-19a	143	22.514895	N
hsa-mir-19b-1	377	59.357450	N
hsa-mir-19b-2	367	57.782982	N
hsa-mir-200a	30	4.723405	N
hsa-mir-200b	22	3.463830	N
hsa-mir-200c	62	9.761703	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	813	128.004262	N
hsa-mir-203b	25	3.936170	N
hsa-mir-204	1061	167.051073	N
hsa-mir-205	4	0.629787	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	0.472340	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	2	0.314894	N
hsa-mir-20a	3334	524.927689	N
hsa-mir-20b	658	103.600006	N
hsa-mir-21	341262	53730.615738	N
hsa-mir-210	611	96.200005	N
hsa-mir-211	52	8.187234	N
hsa-mir-2110	15	2.361702	N
hsa-mir-2113	7	1.102128	N
hsa-mir-2114	11	1.731915	N
hsa-mir-2115	12	1.889362	N
hsa-mir-2116	2	0.314894	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	151	23.774469	N
hsa-mir-214	4	0.629787	N
hsa-mir-215	8	1.259575	Y
hsa-mir-216a	16	2.519149	N
hsa-mir-216b	13	2.046809	N
hsa-mir-217	356	56.051067	N
hsa-mir-218-1	632	99.506388	N
hsa-mir-218-2	578	91.004260	N
hsa-mir-219a-1	542	85.336175	N
hsa-mir-219a-2	36709	5779.715213	N
hsa-mir-219b	1	0.157447	N
hsa-mir-22	312377	49182.764423	N
hsa-mir-221	833	131.153199	N
hsa-mir-222	139	21.885108	N
hsa-mir-223	765	120.446815	N
hsa-mir-224	12	1.889362	N
hsa-mir-2276	1	0.157447	N
hsa-mir-2277	12	1.889362	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	125	19.680852	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	8587	1351.995819	Y
hsa-mir-23b	5543	872.727708	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	5435	855.723452	N
hsa-mir-24-2	5453	858.557494	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	24386	3839.498085	N
hsa-mir-2681	1	0.157447	N
hsa-mir-2682	8	1.259575	N
hsa-mir-26a-1	7536	1186.519215	N
hsa-mir-26a-2	7614	1198.800066	N
hsa-mir-26b	2237	352.208530	N
hsa-mir-27a	4077	641.910674	Y
hsa-mir-27b	8887	1399.229865	Y
hsa-mir-28	4656	733.072381	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	64	10.076596	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	1	0.157447	N
hsa-mir-299	50	7.872341	N
hsa-mir-29a	96436	15183.541265	N
hsa-mir-29b-1	3806	599.242586	N
hsa-mir-29b-2	4029	634.353227	Y
hsa-mir-29c	15773	2483.408648	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	155	24.404257	N
hsa-mir-301b	7	1.102128	N
hsa-mir-302a	1	0.157447	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	5	0.787234	N
hsa-mir-3065	472	74.314898	N
hsa-mir-3074	33	5.195745	N
hsa-mir-30a	358046	56373.203119	Y
hsa-mir-30b	1477	232.548949	Y
hsa-mir-30c-1	3656	575.625564	Y
hsa-mir-30c-2	5529	870.523452	N
hsa-mir-30d	27729	4365.842795	N
hsa-mir-30e	45733	7200.515292	Y
hsa-mir-31	19	2.991490	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	15	2.361702	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	1	0.157447	N
hsa-mir-3125	6	0.944681	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	15	2.361702	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	3	0.472340	N
hsa-mir-3130-2	2	0.314894	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	1	0.157447	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	2	0.314894	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	1	0.157447	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	2	0.314894	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.157447	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	0	0.000000	N
hsa-mir-3158-1	1	0.157447	N
hsa-mir-3158-2	2	0.314894	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	4	0.629787	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	6	0.944681	N
hsa-mir-3174	0	0.000000	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
