miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	76989	12053.134678	N
hsa-let-7a-2	77080	12067.381327	Y
hsa-let-7a-3	77285	12099.475426	N
hsa-let-7b	95172	14899.803005	N
hsa-let-7c	44922	7032.834768	Y
hsa-let-7d	1492	233.582420	N
hsa-let-7e	6729	1053.469239	N
hsa-let-7f-1	30998	4852.940923	N
hsa-let-7f-2	31432	4920.886480	N
hsa-let-7g	2351	368.064524	N
hsa-let-7i	2017	315.774626	N
hsa-mir-100	206095	32265.528730	N
hsa-mir-101-1	27391	4288.241333	N
hsa-mir-101-2	27667	4331.450949	N
hsa-mir-103a-1	60200	9424.706225	Y
hsa-mir-103a-2	60111	9410.772690	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	75	11.741744	N
hsa-mir-105-2	81	12.681083	N
hsa-mir-106a	139	21.761365	Y
hsa-mir-106b	1270	198.826859	N
hsa-mir-107	257	40.235042	Y
hsa-mir-10a	9084	1422.159989	N
hsa-mir-10b	160631	25147.840294	N
hsa-mir-1-1	21	3.287688	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.939339	N
hsa-mir-1180	196	30.685090	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.156557	N
hsa-mir-1185-2	2	0.313113	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	28	4.383584	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	6	0.939339	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.469670	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	15	2.348349	N
hsa-mir-1229	1	0.156557	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	89	13.933536	N
hsa-mir-124-2	77	12.054857	N
hsa-mir-1243	2	0.313113	N
hsa-mir-124-3	77	12.054857	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.469670	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2	0.313113	N
hsa-mir-1248	16	2.504905	N
hsa-mir-1249	53	8.297499	N
hsa-mir-1250	1	0.156557	N
hsa-mir-1251	10	1.565566	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.469670	N
hsa-mir-1254-2	4	0.626226	N
hsa-mir-1255a	1	0.156557	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.469670	N
hsa-mir-125a	1968	308.103353	N
hsa-mir-125b-1	8284	1296.914724	N
hsa-mir-125b-2	8605	1347.169387	N
hsa-mir-126	8605	1347.169387	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.782783	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	14	2.191792	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	1.095896	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4204	658.163870	N
hsa-mir-1270	4	0.626226	N
hsa-mir-1271	15	2.348349	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.156557	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.156557	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	2410	377.301362	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	1639	256.596238	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	26	4.070471	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.626226	N
hsa-mir-129-1	247	38.669476	N
hsa-mir-1292	1	0.156557	N
hsa-mir-129-2	275	43.053060	N
hsa-mir-1293	1	0.156557	N
hsa-mir-1294	3	0.469670	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	34	5.322924	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	13	2.035236	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	46	7.201603	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.469670	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	35	5.479480	N
hsa-mir-1307	2582	404.229094	N
hsa-mir-130a	286	44.775182	N
hsa-mir-130b	50	7.827829	N
hsa-mir-132	1794	280.862508	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	10	1.565566	Y
hsa-mir-133a-2	15	2.348349	Y
hsa-mir-133b	2	0.313113	Y
hsa-mir-134	1952	305.598448	N
hsa-mir-1343	2	0.313113	N
hsa-mir-135a-1	49	7.671273	N
hsa-mir-135a-2	66	10.332734	N
hsa-mir-135b	4	0.626226	N
hsa-mir-136	205	32.094099	N
hsa-mir-137	106	16.594998	N
hsa-mir-138-1	40	6.262263	N
hsa-mir-138-2	22	3.444245	N
hsa-mir-139	1318	206.341575	N
hsa-mir-140	12424	1945.058973	N
hsa-mir-141	24	3.757358	N
hsa-mir-142	1502	235.147986	N
hsa-mir-143	64123	10038.877696	N
hsa-mir-144	1347	210.881716	N
hsa-mir-145	2009	314.522173	N
hsa-mir-1468	58	9.080282	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	261	40.861268	N
hsa-mir-146b	5595	875.934075	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.156557	N
hsa-mir-148a	13452	2105.999139	N
hsa-mir-148b	273	42.739947	N
hsa-mir-149	300	46.966975	N
hsa-mir-150	484	75.773386	N
hsa-mir-151a	6387	999.926888	N
hsa-mir-151b	10	1.565566	N
hsa-mir-152	1077	168.611439	N
hsa-mir-153-1	33	5.166367	N
hsa-mir-153-2	315	49.315323	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	30	4.696697	N
hsa-mir-155	411	64.344755	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1560	244.228268	N
hsa-mir-15b	468	73.268480	N
hsa-mir-16-1	716	112.094513	N
hsa-mir-16-2	686	107.397815	N
hsa-mir-17	1759	275.383027	Y
hsa-mir-181a-1	9256	1449.087721	N
hsa-mir-181a-2	16270	2547.175586	N
hsa-mir-181b-1	1489	233.112750	N
hsa-mir-181b-2	1533	240.001240	N
hsa-mir-181c	1584	247.985626	N
hsa-mir-181d	551	86.262677	N
hsa-mir-182	3169	496.127808	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	576	90.176591	N
hsa-mir-184	53	8.297499	N
hsa-mir-185	487	76.243055	N
hsa-mir-186	508	79.530744	N
hsa-mir-187	19	2.974575	N
hsa-mir-188	1	0.156557	N
hsa-mir-18a	21	3.287688	N
hsa-mir-18b	2	0.313113	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	24	3.757358	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	1284	201.018651	N
hsa-mir-1910	1	0.156557	N
hsa-mir-1911	3	0.469670	N
hsa-mir-1912	2	0.313113	N
hsa-mir-1913	1	0.156557	N
hsa-mir-1914	3	0.469670	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2484	388.886549	Y
hsa-mir-193a	344	53.855464	N
hsa-mir-193b	502	78.591404	N
hsa-mir-194-1	725	113.503522	N
hsa-mir-194-2	810	126.810831	N
hsa-mir-195	383	59.961171	N
hsa-mir-196a-1	2	0.313113	N
hsa-mir-196a-2	4	0.626226	N
hsa-mir-196b	33	5.166367	N
hsa-mir-197	1614	252.682323	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	37	5.792594	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	345	54.012021	Y
hsa-mir-199a-2	531	83.131545	Y
hsa-mir-199b	601	94.090506	Y
hsa-mir-19a	59	9.236838	N
hsa-mir-19b-1	218	34.129335	N
hsa-mir-19b-2	180	28.180185	N
hsa-mir-200a	17	2.661462	N
hsa-mir-200b	16	2.504905	N
hsa-mir-200c	276	43.209617	N
hsa-mir-202	1	0.156557	N
hsa-mir-203a	2178	340.980235	N
hsa-mir-203b	21	3.287688	N
hsa-mir-204	181	28.336741	N
hsa-mir-205	65	10.176178	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	3	0.469670	N
hsa-mir-20a	1525	238.748787	N
hsa-mir-20b	308	48.219427	N
hsa-mir-21	1070474	167589.750366	N
hsa-mir-210	1621	253.778219	N
hsa-mir-211	6	0.939339	N
hsa-mir-2110	6	0.939339	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	25	3.913915	N
hsa-mir-2115	6	0.939339	N
hsa-mir-2116	1	0.156557	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	71	11.115517	N
hsa-mir-214	7	1.095896	N
hsa-mir-215	33	5.166367	Y
hsa-mir-216a	23	3.600801	N
hsa-mir-216b	12	1.878679	N
hsa-mir-217	2176	340.667122	N
hsa-mir-218-1	59	9.236838	N
hsa-mir-218-2	73	11.428630	N
hsa-mir-219a-1	43	6.731933	N
hsa-mir-219a-2	755	118.200219	N
hsa-mir-219b	3	0.469670	N
hsa-mir-22	456988	71544.479212	N
hsa-mir-221	554	86.732346	N
hsa-mir-222	99	15.499102	N
hsa-mir-223	1140	178.474503	N
hsa-mir-224	50	7.827829	N
hsa-mir-2276	2	0.313113	N
hsa-mir-2277	4	0.626226	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	291	45.557965	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	5228	818.477810	Y
hsa-mir-23b	1646	257.692134	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	1272	199.139972	N
hsa-mir-24-2	1377	215.578413	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	34832	5453.178858	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	5211	815.816348	N
hsa-mir-26a-2	5164	808.458189	N
hsa-mir-26b	2766	433.035505	N
hsa-mir-27a	1874	293.387034	Y
hsa-mir-27b	2939	460.119794	Y
hsa-mir-28	19022	2978.019299	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	18	2.818018	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	28	4.383584	N
hsa-mir-29a	60163	9418.913632	N
hsa-mir-29b-1	2954	462.468143	Y
hsa-mir-29b-2	2991	468.260736	N
hsa-mir-29c	10035	1571.045299	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	41	6.418820	N
hsa-mir-301b	2	0.313113	N
hsa-mir-302a	13	2.035236	N
hsa-mir-302b	6	0.939339	N
hsa-mir-302c	1	0.156557	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	2	0.313113	N
hsa-mir-3065	2535	396.870935	N
hsa-mir-3074	33	5.166367	N
hsa-mir-30a	300490	47043.687271	Y
hsa-mir-30b	2112	330.647501	Y
hsa-mir-30c-1	2831	443.211683	Y
hsa-mir-30c-2	3511	549.670159	Y
hsa-mir-30d	18852	2951.404680	N
hsa-mir-30e	38196	5979.835199	Y
hsa-mir-31	16	2.504905	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	10	1.565566	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	27	4.227028	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	4	0.626226	N
hsa-mir-3130-1	1	0.156557	N
hsa-mir-3130-2	2	0.313113	N
hsa-mir-3131	1	0.156557	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	2	0.313113	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	1	0.156557	N
hsa-mir-3151	4	0.626226	N
hsa-mir-3152	1	0.156557	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	1	0.156557	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
