miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	92763	15938.607761	N
hsa-let-7a-2	93101	15996.683172	Y
hsa-let-7a-3	94199	16185.342350	N
hsa-let-7b	143447	24647.170396	N
hsa-let-7c	76432	13132.603175	Y
hsa-let-7d	1610	276.631399	N
hsa-let-7e	9689	1664.771197	N
hsa-let-7f-1	19794	3401.019825	N
hsa-let-7f-2	20132	3459.095237	N
hsa-let-7g	2562	440.204748	N
hsa-let-7i	2247	386.081214	N
hsa-mir-100	61007	10482.268185	Y
hsa-mir-101-1	33104	5687.953940	N
hsa-mir-101-2	33345	5729.362739	N
hsa-mir-103a-1	56779	9755.810076	Y
hsa-mir-103a-2	56449	9699.109230	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	110	18.900282	N
hsa-mir-105-2	114	19.587565	N
hsa-mir-106a	86	14.776584	Y
hsa-mir-106b	2467	423.881778	N
hsa-mir-107	407	69.931043	Y
hsa-mir-10a	64	10.996528	N
hsa-mir-10b	1550	266.322155	N
hsa-mir-1-1	3	0.515462	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.343641	N
hsa-mir-1180	317	54.467176	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.171821	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.687283	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	5	0.859104	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	15	2.577311	N
hsa-mir-1225	5	0.859104	N
hsa-mir-1226	17	2.920953	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.202745	N
hsa-mir-1229	7	1.202745	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	224	38.487847	N
hsa-mir-124-2	221	37.972385	N
hsa-mir-1243	5	0.859104	N
hsa-mir-124-3	233	40.034234	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	20	3.436415	N
hsa-mir-1248	10	1.718207	N
hsa-mir-1249	59	10.137424	N
hsa-mir-1250	2	0.343641	N
hsa-mir-1251	73	12.542914	N
hsa-mir-1252	1	0.171821	N
hsa-mir-1253	1	0.171821	N
hsa-mir-1254-1	1	0.171821	N
hsa-mir-1254-2	1	0.171821	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.171821	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.859104	N
hsa-mir-125a	2710	465.634219	N
hsa-mir-125b-1	8152	1400.682713	N
hsa-mir-125b-2	8832	1517.520819	N
hsa-mir-126	2449	420.789004	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.890028	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.343641	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	1.374566	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.515462	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3934	675.942810	N
hsa-mir-1270	2	0.343641	N
hsa-mir-1271	35	6.013726	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.859104	N
hsa-mir-1276	3	0.515462	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	6964	1196.559668	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	4596	789.688144	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.171821	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	145	24.914008	N
hsa-mir-1288	2	0.343641	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.171821	N
hsa-mir-129-1	606	104.123371	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	757	130.068304	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.343641	N
hsa-mir-1295a	4	0.687283	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	325	55.841742	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	38	6.529188	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	55	9.450141	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	113	19.415744	N
hsa-mir-1307	2972	510.651254	N
hsa-mir-130a	307	52.748969	N
hsa-mir-130b	185	31.786838	N
hsa-mir-132	951	163.401528	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.171821	Y
hsa-mir-133a-2	3	0.515462	N
