miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	62912	7184.492496	N
hsa-let-7a-2	63364	7236.110480	Y
hsa-let-7a-3	63517	7253.582939	N
hsa-let-7b	45056	5145.353731	N
hsa-let-7c	41751	4767.925772	Y
hsa-let-7d	1707	194.937829	N
hsa-let-7e	7917	904.114113	N
hsa-let-7f-1	23783	2715.996710	N
hsa-let-7f-2	24348	2780.519190	N
hsa-let-7g	1663	189.913069	N
hsa-let-7i	1415	161.591698	N
hsa-mir-100	30062	3433.052731	N
hsa-mir-101-1	19387	2213.977556	N
hsa-mir-101-2	19764	2257.030609	N
hsa-mir-103a-1	65118	7436.415665	Y
hsa-mir-103a-2	65474	7477.070538	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	103	11.762505	N
hsa-mir-105-2	113	12.904496	N
hsa-mir-106a	98	11.191510	Y
hsa-mir-106b	1276	145.718026	N
hsa-mir-107	128	14.617482	Y
hsa-mir-10a	78	8.907528	N
hsa-mir-10b	58632	6695.720435	N
hsa-mir-1-1	7	0.799394	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.114199	N
hsa-mir-1180	159	18.157654	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	7	0.799394	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.456796	N
hsa-mir-1224	13	1.484588	N
hsa-mir-1225	4	0.456796	N
hsa-mir-1226	4	0.456796	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.570995	N
hsa-mir-1229	3	0.342597	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.114199	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	55	6.280949	N
hsa-mir-124-2	49	5.595755	N
hsa-mir-1243	1	0.114199	N
hsa-mir-124-3	48	5.481556	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	0.570995	N
hsa-mir-1248	4	0.456796	N
hsa-mir-1249	26	2.969176	N
hsa-mir-1250	1	0.114199	N
hsa-mir-1251	52	5.938352	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.228398	N
hsa-mir-1254-2	3	0.342597	N
hsa-mir-1255a	1	0.114199	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.456796	N
hsa-mir-125a	3462	395.357214	N
hsa-mir-125b-1	7525	859.348074	N
hsa-mir-125b-2	7807	891.552214	N
hsa-mir-126	4157	474.725574	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.141991	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.685194	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.342597	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2132	243.472438	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	24	2.740778	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	4	0.456796	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	3488	398.326390	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	1858	212.181890	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.114199	N
hsa-mir-1285-1	1	0.114199	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	15	1.712986	N
hsa-mir-1288	4	0.456796	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.456796	N
hsa-mir-129-1	213	24.324404	N
hsa-mir-1292	4	0.456796	N
hsa-mir-129-2	276	31.518946	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.114199	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	130	14.845880	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	20	2.283982	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	140	15.987871	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.114199	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	50	5.709954	N
hsa-mir-1307	3857	440.465850	N
hsa-mir-130a	353	40.312275	N
hsa-mir-130b	165	18.842848	N
hsa-mir-132	623	71.146027	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	5	0.570995	N
hsa-mir-133a-2	2	0.228398	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	714	81.538143	N
hsa-mir-1343	5	0.570995	N
hsa-mir-135a-1	139	15.873672	N
