miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	54698	6494.657622	N
hsa-let-7a-2	54383	6457.255576	N
hsa-let-7a-3	54953	6524.935470	N
hsa-let-7b	58019	6888.982058	N
hsa-let-7c	56686	6730.706095	N
hsa-let-7d	1959	232.605110	N
hsa-let-7e	9813	1165.162808	N
hsa-let-7f-1	19057	2262.764458	N
hsa-let-7f-2	19623	2329.969405	N
hsa-let-7g	2769	328.781801	N
hsa-let-7i	1247	148.064610	N
hsa-mir-100	22752	2701.496402	N
hsa-mir-101-1	13849	1644.383952	N
hsa-mir-101-2	14006	1663.025607	N
hsa-mir-103a-1	67768	8046.545719	Y
hsa-mir-103a-2	67326	7994.064117	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	90	10.686299	N
hsa-mir-105-2	83	9.855142	N
hsa-mir-106a	80	9.498932	Y
hsa-mir-106b	2242	266.207583	N
hsa-mir-107	181	21.491335	Y
hsa-mir-10a	168	19.947758	N
hsa-mir-10b	3388	402.279791	N
hsa-mir-1-1	5	0.593683	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.474947	N
hsa-mir-1180	142	16.860605	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	0.356210	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.474947	N
hsa-mir-1225	1	0.118737	N
hsa-mir-1226	8	0.949893	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	2	0.237473	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	44	5.224413	N
hsa-mir-124-2	52	6.174306	N
hsa-mir-1243	1	0.118737	N
hsa-mir-124-3	32	3.799573	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	8	0.949893	N
hsa-mir-1248	5	0.593683	N
hsa-mir-1249	45	5.343150	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	76	9.023986	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.237473	N
hsa-mir-1254-2	1	0.118737	N
hsa-mir-1255a	1	0.118737	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.237473	N
hsa-mir-125a	2232	265.020217	N
hsa-mir-125b-1	6916	821.182714	N
hsa-mir-125b-2	7261	862.146861	N
hsa-mir-126	2179	258.727174	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.662313	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	4	0.474947	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	0.831157	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.118737	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	935	111.018774	N
hsa-mir-1270	7	0.831157	N
hsa-mir-1271	37	4.393256	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.356210	N
hsa-mir-1276	3	0.356210	N
hsa-mir-1277	1	0.118737	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	2081	247.090982	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	1018	120.873916	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	26	3.087153	N
hsa-mir-1288	3	0.356210	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.474947	N
hsa-mir-129-1	381	45.238666	N
hsa-mir-1292	3	0.356210	N
hsa-mir-129-2	421	49.988132	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.118737	N
hsa-mir-1295a	1	0.118737	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	281	33.365000	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	34	4.037046	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	121	14.367135	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	114	13.535979	N
hsa-mir-1307	3541	420.446500	N
hsa-mir-130a	368	43.695089	N
hsa-mir-130b	125	14.842082	N
hsa-mir-132	416	49.394449	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	10	1.187367	N
hsa-mir-133a-2	4	0.474947	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	426	50.581816	N
hsa-mir-1343	7	0.831157	N
hsa-mir-135a-1	241	28.615534	N
hsa-mir-135a-2	226	26.834484	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	56	6.649253	N
hsa-mir-137	44	5.224413	N
hsa-mir-138-1	32	3.799573	N
hsa-mir-138-2	13	1.543577	N
hsa-mir-139	604	71.716940	N
hsa-mir-140	5857	695.440596	N
hsa-mir-141	7	0.831157	N
hsa-mir-142	574	68.154841	N
hsa-mir-143	10586	1256.946243	N
hsa-mir-144	1279	151.864183	N
hsa-mir-145	452	53.668969	N
hsa-mir-1468	19	2.255996	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	11	1.306103	N
hsa-mir-146b	465	55.212545	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.118737	N
hsa-mir-148a	6386	758.252287	N
hsa-mir-148b	536	63.642848	N
hsa-mir-149	541	64.236531	N
hsa-mir-150	141	16.741869	N
hsa-mir-151a	6419	762.170596	N
hsa-mir-151b	7	0.831157	N
hsa-mir-152	719	85.371656	N
hsa-mir-153-1	88	10.448826	N
hsa-mir-153-2	1301	154.476390	N
hsa-mir-1537	1	0.118737	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	12	1.424840	N
hsa-mir-155	22	2.612206	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	856	101.638578	N
hsa-mir-15b	666	79.078613	N
hsa-mir-16-1	894	106.150571	N
hsa-mir-16-2	909	107.931621	N
hsa-mir-17	2737	324.982228	Y
hsa-mir-181a-1	9748	1157.444925	N
hsa-mir-181a-2	26798	3181.904914	N
hsa-mir-181b-1	1424	169.080998	N
hsa-mir-181b-2	1486	176.442671	N
hsa-mir-181c	2510	298.029007	N
hsa-mir-181d	400	47.494662	N
hsa-mir-182	50629	6011.518168	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	10416	1236.761011	N
hsa-mir-184	63	7.480409	N
hsa-mir-185	198	23.509858	N
hsa-mir-186	1024	121.586336	N
hsa-mir-187	3	0.356210	N
hsa-mir-188	3	0.356210	N
hsa-mir-18a	28	3.324626	N
hsa-mir-18b	4	0.474947	N
hsa-mir-1908	1	0.118737	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	22	2.612206	N
hsa-mir-190b	1	0.118737	N
hsa-mir-191	2320	275.469042	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	3	0.356210	N
hsa-mir-1912	5	0.593683	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1130	134.172422	Y
hsa-mir-193a	226	26.834484	N
hsa-mir-193b	141	16.741869	N
hsa-mir-194-1	188	22.322491	N
hsa-mir-194-2	204	24.222278	N
hsa-mir-195	312	37.045837	N
hsa-mir-196a-1	0	0.000000	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	13	1.543577	N
hsa-mir-197	5542	658.038549	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	11	1.306103	N
hsa-mir-198	1	0.118737	N
hsa-mir-199a-1	43	5.105676	Y
hsa-mir-199a-2	65	7.717883	Y
hsa-mir-199b	70	8.311566	Y
hsa-mir-19a	84	9.973879	N
hsa-mir-19b-1	264	31.346477	N
hsa-mir-19b-2	238	28.259324	N
hsa-mir-200a	8	0.949893	N
hsa-mir-200b	7	0.831157	N
hsa-mir-200c	33	3.918310	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	623	73.972937	N
hsa-mir-203b	17	2.018523	N
hsa-mir-204	323	38.351940	N
hsa-mir-205	1	0.118737	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	4	0.474947	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1574	186.891497	N
hsa-mir-20b	273	32.415107	N
hsa-mir-21	34778	4129.423430	N
hsa-mir-210	704	83.590606	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	7	0.831157	N
hsa-mir-2113	7	0.831157	N
hsa-mir-2114	3	0.356210	N
hsa-mir-2115	1	0.118737	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	13	1.543577	N
hsa-mir-214	2	0.237473	N
hsa-mir-215	2	0.237473	Y
hsa-mir-216a	1	0.118737	N
hsa-mir-216b	1	0.118737	N
