miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	54355	8360.380946	N
hsa-let-7a-2	54102	8321.466837	Y
hsa-let-7a-3	54747	8420.674743	N
hsa-let-7b	79344	12203.956688	N
hsa-let-7c	50017	7693.150102	Y
hsa-let-7d	2485	382.219605	N
hsa-let-7e	9872	1518.419294	N
hsa-let-7f-1	13101	2015.074064	N
hsa-let-7f-2	13580	2088.749393	N
hsa-let-7g	3424	526.647859	N
hsa-let-7i	2236	343.920739	N
hsa-mir-100	31348	4821.658024	N
hsa-mir-101-1	34043	5236.177878	N
hsa-mir-101-2	34125	5248.790356	N
hsa-mir-103a-1	76348	11743.139812	Y
hsa-mir-103a-2	76404	11751.753211	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	526	80.904432	N
hsa-mir-105-2	498	76.597732	N
hsa-mir-106a	118	18.149663	Y
hsa-mir-106b	2771	426.209467	N
hsa-mir-107	679	104.437470	Y
hsa-mir-10a	151	23.225417	N
hsa-mir-10b	4018	618.011418	N
hsa-mir-1-1	22	3.383836	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	19	2.922403	N
hsa-mir-1180	861	132.431018	N
hsa-mir-1181	2	0.307621	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	1.691918	N
hsa-mir-1185-2	8	1.230486	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	12	1.845728	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	13	1.999539	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.461432	N
hsa-mir-1224	257	39.529352	N
hsa-mir-1225	3	0.461432	N
hsa-mir-1226	18	2.768593	N
hsa-mir-1227	5	0.769054	N
hsa-mir-1228	10	1.538107	N
hsa-mir-1229	75	11.535803	N
hsa-mir-1231	2	0.307621	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.153811	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4553	700.300146	N
hsa-mir-124-2	4736	728.447505	N
hsa-mir-1243	2	0.307621	N
hsa-mir-124-3	4675	719.065052	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	26	3.999078	N
hsa-mir-1248	4	0.615243	N
hsa-mir-1249	135	20.764445	N
hsa-mir-1250	3	0.461432	N
hsa-mir-1251	158	24.302092	N
hsa-mir-1252	1	0.153811	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.307621	N
