miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41408	5882.129834	N
hsa-let-7a-2	41091	5837.099039	Y
hsa-let-7a-3	41315	5868.918907	N
hsa-let-7b	50763	7211.035471	N
hsa-let-7c	30018	4264.146382	Y
hsa-let-7d	1654	234.955630	N
hsa-let-7e	5506	782.143713	N
hsa-let-7f-1	15356	2181.365575	N
hsa-let-7f-2	15586	2214.037761	N
hsa-let-7g	2014	286.094704	N
hsa-let-7i	1273	180.833445	N
hsa-mir-100	58041	8244.897066	N
hsa-mir-101-1	26603	3779.035452	N
hsa-mir-101-2	26935	3826.197041	N
hsa-mir-103a-1	71317	10130.792441	Y
hsa-mir-103a-2	71314	10130.366282	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	204	28.978808	N
hsa-mir-105-2	179	25.427484	N
hsa-mir-106a	118	16.762252	Y
hsa-mir-106b	923	131.114901	N
hsa-mir-107	220	31.251656	Y
hsa-mir-10a	985	139.922186	N
hsa-mir-10b	10019	1423.228816	N
hsa-mir-1-1	6	0.852318	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.284106	N
hsa-mir-1180	202	28.694702	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.284106	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	7	0.994371	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	16	2.272848	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	0.994371	N
hsa-mir-1227	1	0.142053	N
hsa-mir-1228	13	1.846689	N
hsa-mir-1229	4	0.568212	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.142053	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.142053	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	69	9.801656	N
hsa-mir-124-2	66	9.375497	N
hsa-mir-1243	1	0.142053	N
hsa-mir-124-3	74	10.511921	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	12	1.704636	N
hsa-mir-1248	11	1.562583	N
hsa-mir-1249	55	7.812914	N
hsa-mir-1250	9	1.278477	N
hsa-mir-1251	37	5.255960	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.142053	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.426159	N
hsa-mir-125a	3616	513.663579	N
hsa-mir-125b-1	8142	1156.595371	N
hsa-mir-125b-2	8482	1204.893384	N
hsa-mir-126	6377	905.871859	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.142053	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.568212	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2045	290.498346	N
hsa-mir-1270	5	0.710265	N
hsa-mir-1271	18	2.556954	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	8	1.136424	N
hsa-mir-1277	14	1.988742	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	3259	462.950665	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	1815	257.826160	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.142053	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	126	17.898676	N
hsa-mir-1288	3	0.426159	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.710265	N
hsa-mir-129-1	207	29.404967	N
hsa-mir-1292	3	0.426159	N
hsa-mir-129-2	238	33.808609	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	74	10.511921	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	27	3.835430	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	130	18.466888	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.142053	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	1	0.142053	N
hsa-mir-1306	42	5.966225	N
hsa-mir-1307	3899	553.864573	N
hsa-mir-130a	205	29.120861	N
hsa-mir-130b	42	5.966225	N
hsa-mir-132	908	128.984107	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	14	1.988742	N
hsa-mir-133a-2	6	0.852318	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	762	108.244371	N
hsa-mir-1343	3	0.426159	N
hsa-mir-135a-1	177	25.143378	N
hsa-mir-135a-2	156	22.160265	N
hsa-mir-135b	2	0.284106	N
hsa-mir-136	109	15.483775	N
hsa-mir-137	203	28.836755	N
hsa-mir-138-1	85	12.074503	N
hsa-mir-138-2	48	6.818543	N
hsa-mir-139	910	129.268213	N
hsa-mir-140	9287	1319.246034	N
hsa-mir-141	8	1.136424	N
hsa-mir-142	1752	248.876823	N
hsa-mir-143	22827	3242.643396	N
hsa-mir-144	202	28.694702	N
hsa-mir-145	1458	207.113246	N
hsa-mir-1468	14	1.988742	N
hsa-mir-1469	0	0.000000	N
