miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	21990	5597.051965	N
hsa-let-7a-2	22062	5615.377919	N
hsa-let-7a-3	22369	5693.517754	N
hsa-let-7b	37966	9663.377667	N
hsa-let-7c	24311	6187.809473	N
hsa-let-7d	1660	422.515064	N
hsa-let-7e	4717	1200.604553	N
hsa-let-7f-1	6517	1658.753418	N
hsa-let-7f-2	6554	1668.170922	N
hsa-let-7g	1508	383.826938	N
hsa-let-7i	972	247.400387	N
hsa-mir-100	28726	7311.546828	N
hsa-mir-101-1	14489	3687.843834	N
hsa-mir-101-2	14502	3691.152687	N
hsa-mir-103a-1	85350	21723.892005	Y
hsa-mir-103a-2	85133	21668.659614	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	421	107.155929	N
hsa-mir-105-2	413	105.119712	N
hsa-mir-106a	106	26.979878	Y
hsa-mir-106b	555	141.262567	N
hsa-mir-107	353	89.848083	Y
hsa-mir-10a	387	98.502006	N
hsa-mir-10b	3096	788.016047	N
hsa-mir-1-1	29	7.381287	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.763581	N
hsa-mir-1180	348	88.575447	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	1.018109	N
hsa-mir-1185-2	4	1.018109	N
hsa-mir-1193	1	0.254527	N
hsa-mir-1197	9	2.290744	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	19	4.836016	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.509054	N
hsa-mir-1224	186	47.342049	N
hsa-mir-1225	1	0.254527	N
hsa-mir-1226	12	3.054326	N
hsa-mir-1227	1	0.254527	N
hsa-mir-1228	6	1.527163	N
hsa-mir-1229	12	3.054326	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	443	112.755526	N
hsa-mir-124-2	475	120.900395	N
hsa-mir-1243	1	0.254527	N
hsa-mir-124-3	490	124.718302	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	15	3.817907	N
hsa-mir-1248	4	1.018109	N
hsa-mir-1249	101	25.707242	N
hsa-mir-1250	4	1.018109	N
hsa-mir-1251	33	8.399396	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.254527	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	14	3.563380	N
hsa-mir-125a	4792	1219.694089	N
hsa-mir-125b-1	5406	1375.973757	N
hsa-mir-125b-2	5734	1459.458661	N
hsa-mir-126	5161	1313.614606	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.763581	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	21	5.345070	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	3.054326	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	33	8.399396	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	16518	4204.279416	N
hsa-mir-1270	3	0.763581	N
hsa-mir-1271	16	4.072434	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.509054	N
hsa-mir-1277	4	1.018109	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	12165	3096.322744	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	7910	2013.309734	N
hsa-mir-1283-1	1	0.254527	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.254527	N
hsa-mir-1287	64	16.289737	N
hsa-mir-1288	2	0.509054	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.254527	N
hsa-mir-129-1	2769	704.785670	N
hsa-mir-1292	2	0.509054	N
hsa-mir-129-2	3454	879.136766	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.254527	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	184	46.832995	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	320	81.448687	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	173	44.033196	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
