miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	33060	4488.698419	N
hsa-let-7a-2	32836	4458.284975	Y
hsa-let-7a-3	32741	4445.386416	N
hsa-let-7b	33629	4565.953996	N
hsa-let-7c	45048	6116.360749	Y
hsa-let-7d	1170	158.855933	N
hsa-let-7e	5675	770.519163	N
hsa-let-7f-1	11377	1544.704232	N
hsa-let-7f-2	11773	1598.470856	N
hsa-let-7g	2363	320.834675	N
hsa-let-7i	1208	164.015357	N
hsa-mir-100	17914	2432.260843	Y
hsa-mir-101-1	18474	2508.294452	N
hsa-mir-101-2	19046	2585.957353	N
hsa-mir-103a-1	66246	8994.504399	Y
hsa-mir-103a-2	66281	8999.256500	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	317	43.040454	N
hsa-mir-105-2	264	35.844416	N
hsa-mir-106a	170	23.081631	Y
hsa-mir-106b	880	119.481386	N
hsa-mir-107	193	26.204440	Y
hsa-mir-10a	155	21.045017	N
hsa-mir-10b	1932	262.315951	N
hsa-mir-1-1	3	0.407323	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.543097	N
hsa-mir-1180	159	21.588114	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.135774	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.135774	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	8	1.086194	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	29	3.937455	N
hsa-mir-1225	4	0.543097	N
hsa-mir-1226	8	1.086194	N
hsa-mir-1227	1	0.135774	N
hsa-mir-1228	3	0.407323	N
hsa-mir-1229	5	0.678872	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.135774	N
hsa-mir-1236	2	0.271549	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.271549	N
hsa-mir-124-1	92	12.491236	N
hsa-mir-124-2	95	12.898559	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	109	14.799399	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	0.814646	N
hsa-mir-1248	2	0.271549	N
hsa-mir-1249	17	2.308163	N
hsa-mir-1250	3	0.407323	N
hsa-mir-1251	13	1.765066	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.271549	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.135774	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.135774	N
hsa-mir-125a	4674	634.609087	N
hsa-mir-125b-1	9624	1306.691881	N
hsa-mir-125b-2	10093	1370.370028	N
hsa-mir-126	3424	464.891209	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	2.036615	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.271549	N
