miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	118299	16064.023074	N
hsa-let-7a-2	117864	16004.953681	Y
hsa-let-7a-3	119122	16175.779648	N
hsa-let-7b	208326	28288.943025	N
hsa-let-7c	85573	11620.103691	Y
hsa-let-7d	2403	326.307470	N
hsa-let-7e	13781	1871.345506	N
hsa-let-7f-1	52613	7144.409048	N
hsa-let-7f-2	52916	7185.553935	N
hsa-let-7g	3755	509.897857	N
hsa-let-7i	2373	322.233719	N
hsa-mir-100	72595	9857.798925	Y
hsa-mir-101-1	42148	5723.348841	N
hsa-mir-101-2	42600	5784.726692	N
hsa-mir-103a-1	70529	9577.253260	Y
hsa-mir-103a-2	70419	9562.316172	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	156	21.183506	N
hsa-mir-105-2	148	20.097173	N
hsa-mir-106a	128	17.381338	Y
hsa-mir-106b	5057	686.698659	N
hsa-mir-107	492	66.809520	Y
hsa-mir-10a	77256	10490.724069	N
hsa-mir-10b	426881	57966.899414	N
hsa-mir-1-1	9	1.222125	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.493709	N
hsa-mir-1180	272	36.935344	N
hsa-mir-1181	4	0.543167	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.543167	N
hsa-mir-1185-2	1	0.135792	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	1.086334	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	12	1.629500	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	49	6.653794	N
hsa-mir-1225	3	0.407375	N
hsa-mir-1226	12	1.629500	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.678959	N
hsa-mir-1229	4	0.543167	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.271583	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
