miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	42457	10300.599326	N
hsa-let-7a-2	42526	10317.339589	Y
hsa-let-7a-3	43332	10512.885272	N
hsa-let-7b	75557	18331.073398	N
hsa-let-7c	21825	5295.018025	Y
hsa-let-7d	1537	372.895427	N
hsa-let-7e	3589	870.736297	N
hsa-let-7f-1	18175	4409.482364	N
hsa-let-7f-2	18493	4486.633142	N
hsa-let-7g	2618	635.159550	N
hsa-let-7i	1053	255.470973	N
hsa-mir-100	25298	6137.611271	N
hsa-mir-101-1	28614	6942.114353	N
hsa-mir-101-2	28613	6941.871741	N
hsa-mir-103a-1	75014	18199.334805	Y
hsa-mir-103a-2	75595	18340.292673	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	352	85.399603	N
hsa-mir-105-2	330	80.062128	N
hsa-mir-106a	94	22.805576	Y
hsa-mir-106b	2004	486.195470	N
hsa-mir-107	519	125.915893	Y
hsa-mir-10a	64	15.527201	N
hsa-mir-10b	487	118.152292	N
hsa-mir-1-1	20	4.852250	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	1.698288	N
hsa-mir-1180	242	58.712227	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	1.455675	N
hsa-mir-1185-2	11	2.668738	N
hsa-mir-1193	1	0.242613	N
hsa-mir-1197	13	3.153963	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	21	5.094863	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.242613	N
hsa-mir-1224	66	16.012426	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	3.396575	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.727838	N
hsa-mir-1229	8	1.940900	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	992	240.671610	N
hsa-mir-124-2	997	241.884672	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1001	242.855122	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	1.698288	N
hsa-mir-1248	4	0.970450	N
hsa-mir-1249	109	26.444764	N
hsa-mir-1250	6	1.455675	N
hsa-mir-1251	24	5.822700	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.485225	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	2.183513	N
hsa-mir-125a	1235	299.626450	N
hsa-mir-125b-1	5903	1432.141645	N
hsa-mir-125b-2	6001	1455.917671	N
hsa-mir-126	4010	972.876164	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.485225	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	4	0.970450	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	2.911350	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.727838	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	15419	3740.842288	N
hsa-mir-1270	15	3.639188	N
hsa-mir-1271	48	11.645400	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
