miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41146	9138.862242	N
hsa-let-7a-2	41232	9157.963544	Y
hsa-let-7a-3	41486	9214.379016	N
hsa-let-7b	45707	10151.897548	N
hsa-let-7c	24214	5378.126922	Y
hsa-let-7d	1714	380.693382	N
hsa-let-7e	8118	1803.074021	N
hsa-let-7f-1	12570	2791.899538	N
hsa-let-7f-2	12514	2779.461481	N
hsa-let-7g	2302	511.292978	N
hsa-let-7i	1116	247.872704	N
hsa-mir-100	25010	5554.925015	Y
hsa-mir-101-1	19315	4290.019059	N
hsa-mir-101-2	19445	4318.893120	N
hsa-mir-103a-1	33547	7451.062354	Y
hsa-mir-103a-2	33506	7441.955920	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	128	28.429844	N
hsa-mir-105-2	139	30.873034	N
hsa-mir-106a	129	28.651952	Y
hsa-mir-106b	820	182.128689	N
hsa-mir-107	230	51.084876	Y
hsa-mir-10a	221	49.085903	N
hsa-mir-10b	29502	6552.634858	N
hsa-mir-1-1	5	1.110541	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.888433	N
hsa-mir-1180	235	52.195417	N
hsa-mir-1181	1	0.222108	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.444216	N
hsa-mir-1185-2	1	0.222108	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.888433	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	5	1.110541	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	40	8.884326	N
hsa-mir-1225	1	0.222108	N
hsa-mir-1226	7	1.554757	N
hsa-mir-1227	1	0.222108	N
hsa-mir-1228	1	0.222108	N
hsa-mir-1229	6	1.332649	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.444216	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	266	59.080770	N
hsa-mir-124-2	268	59.524986	N
hsa-mir-1243	1	0.222108	N
hsa-mir-124-3	259	57.526013	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	12	2.665298	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	60	13.326489	N
hsa-mir-1250	4	0.888433	N
hsa-mir-1251	82	18.212869	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.222108	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.888433	N
hsa-mir-125a	3565	791.815581	N
hsa-mir-125b-1	9310	2067.826945	N
hsa-mir-125b-2	9597	2131.571986	N
hsa-mir-126	4881	1084.109916	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.222108	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.222108	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.666324	N
hsa-mir-1267	1	0.222108	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.888433	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3705	822.910723	N
hsa-mir-1270	10	2.221082	N
hsa-mir-1271	23	5.108488	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.666324	N
hsa-mir-1276	8	1.776865	N
hsa-mir-1277	1	0.222108	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	6437	1429.710209	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	4366	969.724215	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.222108	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.222108	N
hsa-mir-1287	60	13.326489	N
hsa-mir-1288	2	0.444216	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.222108	N
hsa-mir-129-1	900	199.897342	N
hsa-mir-1292	2	0.444216	N
hsa-mir-129-2	978	217.221778	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.222108	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	88	19.545518	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	20	4.442163	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	60	13.326489	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.222108	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	67	14.881247	N
hsa-mir-1307	2542	564.598936	N
hsa-mir-130a	326	72.407259	N
hsa-mir-130b	198	43.977415	N
hsa-mir-132	1325	294.293308	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	11	2.443190	Y
hsa-mir-133a-2	17	3.775839	N
hsa-mir-133b	1	0.222108	Y
hsa-mir-134	615	136.596517	N
hsa-mir-1343	3	0.666324	N
hsa-mir-135a-1	82	18.212869	N
hsa-mir-135a-2	47	10.439083	N
hsa-mir-135b	3	0.666324	N
hsa-mir-136	284	63.078717	N
hsa-mir-137	167	37.092062	N
hsa-mir-138-1	110	24.431897	N
hsa-mir-138-2	64	14.214922	N
hsa-mir-139	2470	548.607149	N
hsa-mir-140	5275	1171.620530	N
hsa-mir-141	4	0.888433	N
hsa-mir-142	713	158.363116	N
hsa-mir-143	46040	10225.859564	N
hsa-mir-144	78	17.324436	N
hsa-mir-145	1393	309.396663	N
hsa-mir-1468	10	2.221082	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	69	15.325463	N
hsa-mir-146b	330	73.295692	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	5304	1178.061667	N
hsa-mir-148b	407	90.398020	N
hsa-mir-149	660	146.591384	N
hsa-mir-150	465	103.280293	N
hsa-mir-151a	5221	1159.626689	N
hsa-mir-151b	6	1.332649	N
hsa-mir-152	660	146.591384	N
hsa-mir-153-1	65	14.437030	N
hsa-mir-153-2	696	154.587278	N
hsa-mir-1537	1	0.222108	N
hsa-mir-1538	3	0.666324	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	42	9.328543	N
hsa-mir-155	60	13.326489	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	634	140.816572	N
hsa-mir-15b	158	35.093089	N
hsa-mir-16-1	526	116.828891	N
hsa-mir-16-2	481	106.834024	N
hsa-mir-17	1559	346.266617	Y
hsa-mir-181a-1	18868	4190.736713	N
hsa-mir-181a-2	31008	6887.129743	N
hsa-mir-181b-1	2382	529.061631	N
hsa-mir-181b-2	2338	519.288872	N
hsa-mir-181c	3670	815.136937	N
hsa-mir-181d	355	78.848396	N
hsa-mir-182	43412	9642.159327	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	17163	3812.042304	N
hsa-mir-184	13	2.887406	N
hsa-mir-185	321	71.296719	N
hsa-mir-186	276	61.301851	N
hsa-mir-187	25	5.552704	N
hsa-mir-188	13	2.887406	N
hsa-mir-18a	18	3.997947	N
hsa-mir-18b	2	0.444216	N
hsa-mir-1908	1	0.222108	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	21	4.664271	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	750	166.581118	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.222108	N
hsa-mir-1912	2	0.444216	N
hsa-mir-1913	1	0.222108	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1798	399.350467	Y
hsa-mir-193a	260	57.748121	N
hsa-mir-193b	180	39.979468	N
hsa-mir-194-1	199	44.199523	N
hsa-mir-194-2	244	54.194390	N
hsa-mir-195	238	52.861741	N
hsa-mir-196a-1	0	0.000000	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	0	0.000000	N
hsa-mir-197	1198	266.085572	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	11	2.443190	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	112	24.876114	Y
hsa-mir-199a-2	195	43.311091	Y
hsa-mir-199b	204	45.310064	Y
hsa-mir-19a	77	17.102328	N
hsa-mir-19b-1	212	47.086929	N
hsa-mir-19b-2	204	45.310064	N
hsa-mir-200a	3	0.666324	N
hsa-mir-200b	5	1.110541	N
hsa-mir-200c	13	2.887406	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	325	72.185151	N
hsa-mir-203b	20	4.442163	N
hsa-mir-204	126	27.985628	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
