miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	145110	16435.222729	N
hsa-let-7a-2	144140	16325.360100	Y
hsa-let-7a-3	145680	16499.781181	N
hsa-let-7b	259331	29371.943667	N
hsa-let-7c	91505	10363.896739	Y
hsa-let-7d	2925	331.286793	N
hsa-let-7e	9991	1131.585075	N
hsa-let-7f-1	29239	3311.622062	N
hsa-let-7f-2	29762	3370.857273	N
hsa-let-7g	4819	545.802070	N
hsa-let-7i	6591	746.499573	N
hsa-mir-100	141046	15974.932293	Y
hsa-mir-101-1	125930	14262.887453	N
hsa-mir-101-2	126661	14345.680836	N
hsa-mir-103a-1	32565	3688.326292	Y
hsa-mir-103a-2	32525	3683.795874	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	284	32.165966	N
hsa-mir-105-2	293	33.185309	N
hsa-mir-106a	84	9.513877	Y
hsa-mir-106b	6256	708.557325	N
hsa-mir-107	348	39.414634	Y
hsa-mir-10a	138	15.629941	N
hsa-mir-10b	49044	5554.745114	N
hsa-mir-1-1	4	0.453042	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.906084	N
hsa-mir-1180	256	28.994673	N
hsa-mir-1181	1	0.113260	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.113260	N
hsa-mir-1185-2	1	0.113260	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.113260	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	4	0.453042	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	23	2.604990	N
hsa-mir-1225	2	0.226521	N
hsa-mir-1226	16	1.812167	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	1.245865	N
hsa-mir-1229	3	0.339781	N
hsa-mir-1231	0	0.000000	N
