miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	71891	12567.783183	N
hsa-let-7a-2	72025	12591.208688	Y
hsa-let-7a-3	72915	12746.795994	N
hsa-let-7b	126598	22131.507636	N
hsa-let-7c	79380	13876.989179	Y
hsa-let-7d	3523	615.880989	N
hsa-let-7e	13088	2288.007488	N
hsa-let-7f-1	16562	2895.322434	N
hsa-let-7f-2	16346	2857.561919	N
hsa-let-7g	3290	575.148582	N
hsa-let-7i	2519	440.364522	N
hsa-mir-100	73953	12928.256246	Y
hsa-mir-101-1	36425	6367.716438	N
hsa-mir-101-2	36751	6424.706845	N
hsa-mir-103a-1	76052	13295.197544	Y
hsa-mir-103a-2	76198	13320.720855	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	278	48.599181	N
hsa-mir-105-2	256	44.753203	N
hsa-mir-106a	137	23.949956	Y
hsa-mir-106b	1791	313.097602	N
hsa-mir-107	684	119.574963	Y
hsa-mir-10a	331	57.864493	N
hsa-mir-10b	803	140.378210	N
hsa-mir-1-1	20	3.496344	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	2.447441	N
hsa-mir-1180	918	160.482188	N
hsa-mir-1181	1	0.174817	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.699269	N
hsa-mir-1185-2	6	1.048903	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	13	2.272624	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	28	4.894882	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.524452	N
hsa-mir-1224	208	36.361977	N
hsa-mir-1225	5	0.874086	N
hsa-mir-1226	15	2.622258	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	22	3.845978	N
hsa-mir-1229	41	7.167505	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2654	463.964844	N
hsa-mir-124-2	2740	478.999123	N
hsa-mir-1243	3	0.524452	N
hsa-mir-124-3	2795	488.614068	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	87	15.209096	N
hsa-mir-1248	7	1.223720	N
hsa-mir-1249	226	39.508687	N
hsa-mir-1250	3	0.524452	N
hsa-mir-1251	157	27.446300	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.349634	N
hsa-mir-1254-2	2	0.349634	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.349634	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	57	9.964580	N
hsa-mir-125a	6216	1086.663703	N
hsa-mir-125b-1	17484	3056.503890	N
hsa-mir-125b-2	18581	3248.278357	N
hsa-mir-126	11949	2088.890699	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.699269	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	4	0.699269	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	18	3.146710	N
hsa-mir-1267	1	0.174817	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.174817	N
hsa-mir-1269b	1	0.174817	N
hsa-mir-127	19633	3432.186049	N
hsa-mir-1270	2	0.349634	N
hsa-mir-1271	57	9.964580	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.349634	N
hsa-mir-1276	2	0.349634	N
hsa-mir-1277	3	0.524452	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	18650	3260.340743	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	13883	2426.987160	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.174817	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	145	25.348494	N
hsa-mir-1288	1	0.174817	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.174817	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	7	1.223720	N
hsa-mir-129-1	4383	766.223779	N
hsa-mir-1292	4	0.699269	N
hsa-mir-129-2	4853	848.387862	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	5	0.874086	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	615	107.512577	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	110	19.229892	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	179	31.292278	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
