miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	85331	5989.008652	N
hsa-let-7a-2	85374	5992.026633	Y
hsa-let-7a-3	85996	6035.682086	N
hsa-let-7b	341008	23933.855954	N
hsa-let-7c	50817	3566.622361	Y
hsa-let-7d	4698	329.732016	N
hsa-let-7e	7465	523.935611	N
hsa-let-7f-1	11535	809.591061	N
hsa-let-7f-2	11488	806.292337	N
hsa-let-7g	3170	222.488397	N
hsa-let-7i	3791	266.073664	N
hsa-mir-100	165468	11613.473224	Y
hsa-mir-101-1	61222	4296.903677	N
hsa-mir-101-2	62126	4360.351473	N
hsa-mir-103a-1	78044	5477.566081	Y
hsa-mir-103a-2	77654	5450.193691	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	820	57.552204	N
hsa-mir-105-2	813	57.060904	N
hsa-mir-106a	277	19.441415	Y
hsa-mir-106b	4112	288.603246	N
hsa-mir-107	923	64.781322	Y
hsa-mir-10a	375287	26339.748626	N
hsa-mir-10b	1982301	139129.013371	N
hsa-mir-1-1	25	1.754640	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	0.982599	N
hsa-mir-1180	703	49.340487	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.421114	N
hsa-mir-1185-2	7	0.491299	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	30	2.105568	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	13	0.912413	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.140371	N
hsa-mir-1224	115	8.071346	N
hsa-mir-1225	4	0.280742	N
hsa-mir-1226	17	1.193155	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	21	1.473898	N
hsa-mir-1229	26	1.824826	N
hsa-mir-1231	1	0.070186	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.070186	N
hsa-mir-1236	1	0.070186	N
hsa-mir-1237	4	0.280742	N
hsa-mir-1238	1	0.070186	N
hsa-mir-124-1	1979	138.897331	N
hsa-mir-124-2	1894	132.931553	N
hsa-mir-1243	2	0.140371	N
hsa-mir-124-3	1995	140.020300	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	22	1.544084	N
hsa-mir-1248	12	0.842227	N
hsa-mir-1249	272	19.090487	N
hsa-mir-1250	9	0.631671	N
hsa-mir-1251	229	16.072506	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.070186	N
hsa-mir-1254-2	3	0.210557	N
hsa-mir-1255a	9	0.631671	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.070186	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	17	1.193155	N
hsa-mir-125a	6671	468.208233	N
hsa-mir-125b-1	25256	1772.607874	N
hsa-mir-125b-2	26125	1833.599173	N
hsa-mir-126	15390	1080.156604	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.350928	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	21	1.473898	N
