miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	145983	7282.908023	N
hsa-let-7a-2	145186	7243.146696	Y
hsa-let-7a-3	146241	7295.779318	N
hsa-let-7b	227529	11351.135266	N
hsa-let-7c	88829	4431.566941	Y
hsa-let-7d	3548	177.005252	N
hsa-let-7e	9499	473.893147	N
hsa-let-7f-1	38791	1935.234138	N
hsa-let-7f-2	39294	1960.328174	N
hsa-let-7g	5815	290.103027	N
hsa-let-7i	5514	275.086516	N
hsa-mir-100	147838	7375.451637	N
hsa-mir-101-1	83749	4178.132139	N
hsa-mir-101-2	86899	4335.281672	N
hsa-mir-103a-1	198570	9906.407226	Y
hsa-mir-103a-2	199265	9941.079901	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	532	26.540810	N
hsa-mir-105-2	546	27.239252	N
hsa-mir-106a	184	9.179528	Y
hsa-mir-106b	3704	184.787895	N
hsa-mir-107	805	40.160436	Y
hsa-mir-10a	236	11.773743	N
hsa-mir-10b	293	14.617401	N
hsa-mir-1-1	21	1.047664	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	57	2.843658	N
hsa-mir-1180	420	20.953271	N
hsa-mir-1181	2	0.099777	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.049889	N
hsa-mir-1185-2	2	0.099777	N
hsa-mir-1193	1	0.049889	N
hsa-mir-1197	4	0.199555	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	18	0.897997	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.049889	N
hsa-mir-1224	133	6.635203	N
hsa-mir-1225	1	0.049889	N
hsa-mir-1226	14	0.698442	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.249444	N
hsa-mir-1229	17	0.848109	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	634	31.629462	N
hsa-mir-124-2	621	30.980908	N
hsa-mir-1243	6	0.299332	N
hsa-mir-124-3	672	33.525234	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	12	0.598665	N
hsa-mir-1248	5	0.249444	N
hsa-mir-1249	124	6.186204	N
hsa-mir-1250	20	0.997775	N
hsa-mir-1251	20	0.997775	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	2	0.099777	N
hsa-mir-1254-1	6	0.299332	N
hsa-mir-1254-2	5	0.249444	N
hsa-mir-1255a	3	0.149666	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.049889	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	0.448999	N
hsa-mir-125a	4642	231.583534	N
hsa-mir-125b-1	18858	940.801871	N
hsa-mir-125b-2	19846	990.091946	N
hsa-mir-126	6590	328.766801	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.249444	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.149666	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	14	0.698442	N
hsa-mir-1267	1	0.049889	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	0.299332	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	9945	496.143526	N
hsa-mir-1270	2	0.099777	N
hsa-mir-1271	61	3.043213	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.049889	N
hsa-mir-1276	3	0.149666	N
hsa-mir-1277	8	0.399110	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	11677	582.550824	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	7376	367.979351	N
hsa-mir-1283-1	1	0.049889	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.099777	N
hsa-mir-1287	154	7.682866	N
hsa-mir-1288	3	0.149666	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	12	0.598665	N
hsa-mir-129-1	1595	79.572541	N
hsa-mir-1292	1	0.049889	N
hsa-mir-129-2	1726	86.107966	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.099777	N
hsa-mir-1295a	19	0.947886	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	1026	51.185848	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	83	4.140765	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	121	6.036538	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	2	0.099777	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.049889	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	1	0.049889	N
hsa-mir-1306	115	5.737205	N
hsa-mir-1307	6246	311.605074	N
hsa-mir-130a	994	49.589408	N
hsa-mir-130b	381	19.007610	N
hsa-mir-132	3167	157.997642	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.049889	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	50	2.494437	Y
hsa-mir-133a-2	43	2.145216	Y
hsa-mir-133b	9	0.448999	Y
hsa-mir-134	2603	129.860392	N
hsa-mir-1343	17	0.848109	N
hsa-mir-135a-1	246	12.272630	N
hsa-mir-135a-2	158	7.882421	N
hsa-mir-135b	27	1.346996	N
hsa-mir-136	661	32.976458	N
hsa-mir-137	1824	90.997063	N
hsa-mir-138-1	272	13.569737	N
hsa-mir-138-2	196	9.778193	N
hsa-mir-139	5860	292.348020	N
hsa-mir-140	36198	1805.872633	N
hsa-mir-141	8	0.399110	N
hsa-mir-142	634	31.629462	N
hsa-mir-143	56032	2795.365915	N
hsa-mir-144	330	16.463284	N
hsa-mir-145	1219	60.814375	N
hsa-mir-1468	69	3.442323	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	311	15.515398	N
hsa-mir-146b	2706	134.998932	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	10692	533.410415	N
hsa-mir-148b	1117	55.725723	N
hsa-mir-149	755	37.665999	N
hsa-mir-150	560	27.937695	N
