miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	81552	6629.165450	N
hsa-let-7a-2	82377	6696.227711	Y
hsa-let-7a-3	82593	6713.785830	N
hsa-let-7b	101526	8252.803751	N
hsa-let-7c	62589	5087.708902	Y
hsa-let-7d	2773	225.410484	N
hsa-let-7e	10033	815.558379	N
hsa-let-7f-1	22100	1796.455715	N
hsa-let-7f-2	22330	1815.151860	N
hsa-let-7g	3271	265.891703	N
hsa-let-7i	1929	156.803759	N
hsa-mir-100	68272	5549.666270	N
hsa-mir-101-1	40499	3292.066063	N
hsa-mir-101-2	41109	3341.651492	N
hsa-mir-103a-1	35248	2865.224934	Y
hsa-mir-103a-2	35411	2878.474811	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	132	10.729962	N
hsa-mir-105-2	104	8.453909	N
hsa-mir-106a	138	11.217687	Y
hsa-mir-106b	1322	107.462193	N
hsa-mir-107	155	12.599576	Y
hsa-mir-10a	150	12.193138	N
hsa-mir-10b	3997	324.906493	N
hsa-mir-1-1	11	0.894163	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.406438	N
hsa-mir-1180	337	27.393917	N
hsa-mir-1181	1	0.081288	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.081288	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	11	0.894163	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	23	1.869615	N
hsa-mir-1225	2	0.162575	N
hsa-mir-1226	6	0.487726	N
hsa-mir-1227	1	0.081288	N
hsa-mir-1228	7	0.569013	N
hsa-mir-1229	4	0.325150	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.081288	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	218	17.720694	N
hsa-mir-124-2	222	18.045845	N
hsa-mir-1243	2	0.162575	N
hsa-mir-124-3	211	17.151681	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.081288	N
hsa-mir-1247	13	1.056739	N
hsa-mir-1248	1	0.081288	N
hsa-mir-1249	176	14.306616	N
