miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	40931	7207.108539	N
hsa-let-7a-2	40753	7175.766395	Y
hsa-let-7a-3	41245	7262.397491	N
hsa-let-7b	53672	9450.536990	N
hsa-let-7c	28825	5075.490549	Y
hsa-let-7d	1804	317.647353	N
hsa-let-7e	3491	614.693409	N
hsa-let-7f-1	13126	2311.219044	N
hsa-let-7f-2	13313	2344.145904	N
hsa-let-7g	2421	426.288382	N
hsa-let-7i	1659	292.115831	N
hsa-mir-100	52191	9189.763303	N
hsa-mir-101-1	28584	5033.055398	N
hsa-mir-101-2	28719	5056.826125	N
hsa-mir-103a-1	58430	10288.323079	Y
hsa-mir-103a-2	58104	10230.921174	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	154	27.116237	N
hsa-mir-105-2	132	23.242489	N
hsa-mir-106a	98	17.255787	Y
hsa-mir-106b	1046	184.179119	N
hsa-mir-107	267	47.013217	Y
hsa-mir-10a	347	61.099574	N
hsa-mir-10b	374	65.853720	N
hsa-mir-1-1	6	1.056477	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	1.232556	N
hsa-mir-1180	120	21.129536	N
hsa-mir-1181	1	0.176079	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.352159	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	0.528238	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	12	2.112954	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.528238	N
hsa-mir-1227	1	0.176079	N
hsa-mir-1228	3	0.528238	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.176079	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	59	10.388688	N
hsa-mir-124-2	59	10.388688	N
hsa-mir-1243	1	0.176079	N
hsa-mir-124-3	59	10.388688	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	0.704318	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	21	3.697669	N
hsa-mir-1250	6	1.056477	N
hsa-mir-1251	22	3.873748	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.352159	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.176079	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.880397	N
hsa-mir-125a	1585	279.085950	N
hsa-mir-125b-1	7893	1389.795209	N
hsa-mir-125b-2	8524	1500.901351	N
hsa-mir-126	6258	1101.905285	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.352159	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	1.056477	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1582	278.557712	N
hsa-mir-1270	11	1.936874	N
hsa-mir-1271	33	5.810622	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.528238	N
hsa-mir-1276	2	0.352159	N
hsa-mir-1277	2	0.352159	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	3571	628.779766	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	2377	418.540886	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.176079	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
