miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	82275	10586.662594	N
hsa-let-7a-2	83210	10706.972889	Y
hsa-let-7a-3	83679	10767.321047	N
hsa-let-7b	167872	21600.780589	N
hsa-let-7c	58708	7554.199788	Y
hsa-let-7d	4159	535.155633	N
hsa-let-7e	16762	2156.835471	N
hsa-let-7f-1	25539	3286.208155	N
hsa-let-7f-2	25859	3327.383871	N
hsa-let-7g	4798	617.378391	N
hsa-let-7i	4168	536.313700	N
hsa-mir-100	87788	11296.042975	Y
hsa-mir-101-1	26258	3378.724842	N
hsa-mir-101-2	26573	3419.257188	N
hsa-mir-103a-1	131384	16905.719577	Y
hsa-mir-103a-2	132082	16995.534108	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	25	3.216853	N
hsa-mir-105-2	27	3.474201	N
hsa-mir-106a	1315	169.206458	Y
hsa-mir-106b	3963	509.935507	N
hsa-mir-107	780	100.365808	Y
hsa-mir-10a	28606	3680.851658	N
hsa-mir-10b	36513	4698.277864	N
hsa-mir-1-1	14	1.801438	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.900719	N
hsa-mir-1180	272	34.999359	N
hsa-mir-1181	1	0.128674	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.514696	N
hsa-mir-1185-2	1	0.128674	N
hsa-mir-1193	2	0.257348	N
hsa-mir-1197	1	0.128674	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	14	1.801438	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	1.029393	N
hsa-mir-1225	1	0.128674	N
hsa-mir-1226	41	5.275639	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	50	6.433706	N
hsa-mir-1229	9	1.158067	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.128674	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	33	4.246246	N
hsa-mir-124-2	24	3.088179	N
hsa-mir-1243	5	0.643371	N
hsa-mir-124-3	25	3.216853	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.514696	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	35	4.503594	N
hsa-mir-1248	6	0.772045	N
hsa-mir-1249	11	1.415415	N
hsa-mir-1250	4	0.514696	N
hsa-mir-1251	105	13.510782	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.257348	N
hsa-mir-1254-2	4	0.514696	N
hsa-mir-1255a	7	0.900719	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.128674	N
hsa-mir-125a	4842	623.040052	N
hsa-mir-125b-1	13621	1752.670084	N
