miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	70043	7870.637610	N
hsa-let-7a-2	69410	7799.508252	Y
hsa-let-7a-3	70333	7903.224520	N
hsa-let-7b	120099	13495.362939	N
hsa-let-7c	91152	10242.627521	Y
hsa-let-7d	2524	283.618482	N
hsa-let-7e	7029	789.839267	N
hsa-let-7f-1	18053	2028.591305	N
hsa-let-7f-2	18425	2070.392444	N
hsa-let-7g	2913	327.329888	N
hsa-let-7i	3732	419.359816	N
hsa-mir-100	112833	12678.892301	N
hsa-mir-101-1	54018	6069.929935	N
hsa-mir-101-2	54229	6093.639721	N
hsa-mir-103a-1	52112	5855.755281	Y
hsa-mir-103a-2	52501	5899.466687	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	20	2.247373	N
hsa-mir-105-2	15	1.685530	N
hsa-mir-106a	159	17.866616	Y
hsa-mir-106b	3323	373.401036	N
hsa-mir-107	211	23.709786	Y
hsa-mir-10a	127740	14353.971822	N
hsa-mir-10b	164504	18485.093006	N
hsa-mir-1-1	3	0.337106	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.224737	N
hsa-mir-1180	175	19.664514	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.112369	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.561843	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	18	2.022636	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.112369	N
hsa-mir-1229	3	0.337106	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.112369	N
hsa-mir-124-1	18	2.022636	N
hsa-mir-124-2	25	2.809216	N
hsa-mir-1243	5	0.561843	N
hsa-mir-124-3	23	2.584479	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	0.449475	N
hsa-mir-1248	4	0.449475	N
hsa-mir-1249	15	1.685530	N
hsa-mir-1250	1	0.112369	N
hsa-mir-1251	144	16.181086	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.112369	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	6208	697.584602	N
hsa-mir-125b-1	12258	1377.414957	N
hsa-mir-125b-2	12979	1458.432756	N
hsa-mir-126	7093	797.030861	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	40	4.494746	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.337106	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	40	4.494746	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	1	0.112369	N
hsa-mir-127	1010	113.492340	N
hsa-mir-1270	4	0.449475	N
hsa-mir-1271	53	5.955539	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	7	0.786581	N
hsa-mir-1278	0	0.000000	N
