miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	181524	11407.741609	N
hsa-let-7a-2	181770	11423.201297	Y
hsa-let-7a-3	182342	11459.148214	N
hsa-let-7b	107906	6781.272812	N
hsa-let-7c	72808	4575.564945	Y
hsa-let-7d	2916	183.253865	N
hsa-let-7e	38848	2441.373846	N
hsa-let-7f-1	101767	6395.471895	N
hsa-let-7f-2	104193	6547.932072	N
hsa-let-7g	7349	461.842473	N
hsa-let-7i	3571	224.416856	N
hsa-mir-100	91202	5731.522279	N
hsa-mir-101-1	48518	3049.077848	N
hsa-mir-101-2	48836	3069.062323	N
hsa-mir-103a-1	99452	6249.987431	Y
hsa-mir-103a-2	99431	6248.667702	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	235	14.768401	N
hsa-mir-105-2	272	17.093639	N
hsa-mir-106a	227	14.265647	Y
hsa-mir-106b	2010	126.316964	N
hsa-mir-107	572	35.946917	Y
hsa-mir-10a	1173	73.716318	N
hsa-mir-10b	128132	8052.360833	N
hsa-mir-1-1	35	2.199549	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	33	2.073861	N
hsa-mir-1180	390	24.509262	N
hsa-mir-1181	2	0.125689	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.062844	N
hsa-mir-1185-2	1	0.062844	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	29	1.822484	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	56	3.519279	N
hsa-mir-1225	2	0.125689	N
hsa-mir-1226	12	0.754131	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	19	1.194041	N
hsa-mir-1229	8	0.502754	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	224	14.077114	N
hsa-mir-124-2	191	12.003254	N
hsa-mir-1243	2	0.125689	N
hsa-mir-124-3	223	14.014270	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	12	0.754131	N
hsa-mir-1248	4	0.251377	N
hsa-mir-1249	97	6.095893	N
hsa-mir-1250	4	0.251377	N
hsa-mir-1251	63	3.959188	N
hsa-mir-1252	1	0.062844	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.188533	N
hsa-mir-1254-2	3	0.188533	N
hsa-mir-1255a	1	0.062844	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.062844	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.314221	N
hsa-mir-125a	4572	287.323961	N
hsa-mir-125b-1	12674	796.488162	N
hsa-mir-125b-2	13357	839.410792	N
hsa-mir-126	8974	563.964397	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.377066	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	5	0.314221	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	0.439910	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4209	264.511494	N
hsa-mir-1270	22	1.382574	N
hsa-mir-1271	51	3.205057	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.062844	N
hsa-mir-1276	23	1.445418	N
hsa-mir-1277	5	0.314221	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	6926	435.259351	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	4328	271.989961	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
