miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	74368	9220.304756	N
hsa-let-7a-2	75084	9309.075977	Y
hsa-let-7a-3	75482	9358.420874	N
hsa-let-7b	121851	15107.349327	N
hsa-let-7c	119190	14777.432818	Y
hsa-let-7d	2727	338.099331	N
hsa-let-7e	9232	1144.603237	N
hsa-let-7f-1	27922	3461.829677	N
hsa-let-7f-2	28158	3491.089465	N
hsa-let-7g	3108	385.336532	N
hsa-let-7i	5575	691.200503	N
hsa-mir-100	79128	9810.459804	Y
hsa-mir-101-1	136086	16872.235275	N
hsa-mir-101-2	136601	16936.086084	N
hsa-mir-103a-1	81523	10107.397060	Y
hsa-mir-103a-2	81361	10087.311952	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	221	27.400056	N
hsa-mir-105-2	224	27.772002	N
hsa-mir-106a	79	9.794590	Y
hsa-mir-106b	8069	1000.411993	N
hsa-mir-107	1042	129.189403	Y
hsa-mir-10a	547	67.818238	N
hsa-mir-10b	23193	2875.518075	N
hsa-mir-1-1	15	1.859732	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.487786	N
hsa-mir-1180	842	104.392973	N
hsa-mir-1181	2	0.247964	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.371946	N
hsa-mir-1185-2	1	0.123982	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.743893	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	20	2.479643	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.247964	N
hsa-mir-1224	233	28.887842	N
hsa-mir-1225	3	0.371946	N
hsa-mir-1226	21	2.603625	N
hsa-mir-1227	3	0.371946	N
hsa-mir-1228	15	1.859732	N
hsa-mir-1229	6	0.743893	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.123982	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1967	243.872895	N
hsa-mir-124-2	2013	249.576074	N
hsa-mir-1243	3	0.371946	N
hsa-mir-124-3	2058	255.155271	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	26	3.223536	N
hsa-mir-1248	3	0.371946	N
hsa-mir-1249	75	9.298661	N
hsa-mir-1250	6	0.743893	N
hsa-mir-1251	63	7.810876	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	1	0.123982	N
hsa-mir-1254-1	2	0.247964	N
hsa-mir-1254-2	1	0.123982	N
hsa-mir-1255a	3	0.371946	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	37	4.587340	N
hsa-mir-125a	3554	440.632572	N
hsa-mir-125b-1	15041	1864.815564	N
hsa-mir-125b-2	16198	2008.262915	N
hsa-mir-126	2170	269.041272	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.371946	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	2.355661	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	0.991857	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	1	0.123982	N
hsa-mir-127	12013	1489.397604	N
hsa-mir-1270	5	0.619911	N
hsa-mir-1271	51	6.323090	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.619911	N
hsa-mir-1276	10	1.239822	N
hsa-mir-1277	3	0.371946	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	14057	1742.817125	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	11177	1385.748524	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.123982	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	109	13.514055	N
hsa-mir-1288	4	0.495929	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.371946	N
hsa-mir-129-1	1960	243.005020	N
hsa-mir-1292	1	0.123982	N
hsa-mir-129-2	2113	261.974289	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.247964	N
hsa-mir-1295a	3	0.371946	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	523	64.842666	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	76	9.422644	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	125	15.497769	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.123982	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	67	8.306804	N
hsa-mir-1307	6433	797.577190	N
hsa-mir-130a	358	44.385611	N
hsa-mir-130b	170	21.076966	N
hsa-mir-132	1952	242.013163	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.123982	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	19	2.355661	Y
hsa-mir-133a-2	11	1.363804	N
