miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	167658	11746.962944	N
hsa-let-7a-2	167207	11715.363615	Y
hsa-let-7a-3	167813	11757.823023	N
hsa-let-7b	130664	9154.977192	N
hsa-let-7c	83300	5836.417071	Y
hsa-let-7d	3940	276.056222	N
hsa-let-7e	17722	1241.692477	N
hsa-let-7f-1	75450	5286.406578	N
hsa-let-7f-2	76901	5388.070938	N
hsa-let-7g	7922	555.055174	N
hsa-let-7i	3870	271.151669	N
hsa-mir-100	88083	6171.538113	N
hsa-mir-101-1	96537	6763.867884	N
hsa-mir-101-2	98760	6919.622448	N
hsa-mir-103a-1	183746	12874.169160	Y
hsa-mir-103a-2	185029	12964.062595	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	592	41.478498	N
hsa-mir-105-2	614	43.019929	N
hsa-mir-106a	396	27.745752	Y
hsa-mir-106b	3805	266.597442	N
hsa-mir-107	1360	95.288442	Y
hsa-mir-10a	658	46.102790	N
hsa-mir-10b	19862	1391.631643	N
hsa-mir-1-1	33	2.312146	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	20	1.401301	N
hsa-mir-1180	410	28.726663	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.140130	N
hsa-mir-1185-2	1	0.070065	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.210195	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	37	2.592406	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.070065	N
hsa-mir-1224	66	4.624292	N
hsa-mir-1225	3	0.210195	N
hsa-mir-1226	8	0.560520	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.350325	N
hsa-mir-1229	5	0.350325	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.070065	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.070065	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	645	45.191945	N
hsa-mir-124-2	597	41.828823	N
hsa-mir-1243	1	0.070065	N
hsa-mir-124-3	593	41.548563	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	30	2.101951	N
hsa-mir-1248	2	0.140130	N
hsa-mir-1249	49	3.433187	N
hsa-mir-1250	5	0.350325	N
hsa-mir-1251	75	5.254877	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.210195	N
hsa-mir-1254-2	1	0.070065	N
hsa-mir-1255a	3	0.210195	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
