miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	55887	7918.188214	N
hsa-let-7a-2	56400	7990.871138	Y
hsa-let-7a-3	56285	7974.577695	N
hsa-let-7b	143634	20350.368529	N
hsa-let-7c	68939	9767.423145	Y
hsa-let-7d	4227	598.890289	N
hsa-let-7e	12043	1706.277679	N
hsa-let-7f-1	10143	1437.081666	N
hsa-let-7f-2	9951	1409.878700	N
hsa-let-7g	2179	308.725323	N
hsa-let-7i	4093	579.904886	N
hsa-mir-100	124749	17674.701837	Y
hsa-mir-101-1	35039	4964.399536	N
hsa-mir-101-2	35268	4996.844739	N
hsa-mir-103a-1	66725	9453.738948	Y
hsa-mir-103a-2	67526	9567.226320	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	87	12.326344	N
hsa-mir-105-2	85	12.042980	N
hsa-mir-106a	200	28.336422	Y
hsa-mir-106b	3029	429.155118	N
hsa-mir-107	525	74.383109	Y
hsa-mir-10a	3834	543.209219	N
hsa-mir-10b	86297	12226.741252	N
hsa-mir-1-1	20	2.833642	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.558503	N
hsa-mir-1180	518	73.391334	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.708411	N
hsa-mir-1185-2	4	0.566728	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.850093	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	25	3.542053	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.141682	N
hsa-mir-1224	56	7.934198	N
hsa-mir-1225	2	0.283364	N
hsa-mir-1226	34	4.817192	N
hsa-mir-1227	4	0.566728	N
hsa-mir-1228	18	2.550278	N
hsa-mir-1229	4	0.566728	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.141682	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	571	80.900486	N
hsa-mir-124-2	551	78.066844	N
hsa-mir-1243	6	0.850093	N
hsa-mir-124-3	574	81.325533	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	15	2.125232	N
hsa-mir-1248	2	0.283364	N
hsa-mir-1249	25	3.542053	N
hsa-mir-1250	6	0.850093	N
hsa-mir-1251	87	12.326344	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.141682	N
hsa-mir-1254-2	2	0.283364	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.141682	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	13	1.841867	N
hsa-mir-125a	9837	1393.726939	N
hsa-mir-125b-1	20933	2965.831658	N
hsa-mir-125b-2	22033	3121.681982	N
hsa-mir-126	23684	3355.599150	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.141682	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.850093	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.141682	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	45	6.375695	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.141682	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	21801	3088.811732	N
hsa-mir-1270	5	0.708411	N
hsa-mir-1271	72	10.201112	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.141682	N
hsa-mir-1276	1	0.141682	N
hsa-mir-1277	6	0.850093	N
hsa-mir-1278	1	0.141682	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	5212	738.447170	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	3829	542.500808	N
