miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	48717	13827.309767	N
hsa-let-7a-2	48940	13890.603691	N
hsa-let-7a-3	49084	13931.475103	N
hsa-let-7b	37023	10508.210471	N
hsa-let-7c	29068	8250.348755	N
hsa-let-7d	1286	365.004421	N
hsa-let-7e	28243	8016.189621	N
hsa-let-7f-1	31597	8968.152939	N
hsa-let-7f-2	32238	9150.087490	N
hsa-let-7g	3102	880.438346	N
hsa-let-7i	1429	405.592004	N
hsa-mir-100	35801	10161.371122	N
hsa-mir-101-1	27131	7700.571490	N
hsa-mir-101-2	27501	7805.588314	N
hsa-mir-103a-1	54474	15461.314782	Y
hsa-mir-103a-2	54635	15507.011292	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	54	15.326780	N
hsa-mir-105-2	50	14.191463	N
hsa-mir-106a	227	64.429241	Y
hsa-mir-106b	1048	297.453058	N
hsa-mir-107	164	46.547998	Y
hsa-mir-10a	170	48.250973	N
hsa-mir-10b	22027	6251.906978	N
hsa-mir-1-1	22	6.244244	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	3.405951	N
hsa-mir-1180	254	72.092631	N
hsa-mir-1181	1	0.283829	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.283829	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	24	6.811902	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.283829	N
hsa-mir-1224	21	5.960414	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	33	9.366365	N
hsa-mir-1227	1	0.283829	N
hsa-mir-1228	72	20.435706	N
hsa-mir-1229	10	2.838293	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	91	25.828462	N
hsa-mir-124-2	100	28.382925	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	83	23.557828	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	1.702976	N
hsa-mir-1248	10	2.838293	N
hsa-mir-1249	45	12.772316	N
hsa-mir-1250	1	0.283829	N
hsa-mir-1251	54	15.326780	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.283829	N
hsa-mir-1255a	5	1.419146	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	1.135317	N
hsa-mir-125a	3565	1011.851291	N
hsa-mir-125b-1	3360	953.666293	N
hsa-mir-125b-2	3852	1093.310286	N
hsa-mir-126	8657	2457.109852	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.851488	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.283829	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	45	12.772316	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	1.702976	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2660	754.985816	N
hsa-mir-1270	6	1.702976	N
hsa-mir-1271	26	7.379561	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	8	2.270634	N
hsa-mir-1277	4	1.135317	N
hsa-mir-1278	2	0.567659	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
