miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	68485	7129.877032	N
hsa-let-7a-2	68813	7164.024651	Y
hsa-let-7a-3	68858	7168.709538	N
hsa-let-7b	53832	5604.373810	N
hsa-let-7c	44718	4655.528088	Y
hsa-let-7d	3628	377.705978	N
hsa-let-7e	8210	854.731553	N
hsa-let-7f-1	31980	3329.392823	N
hsa-let-7f-2	33426	3479.933849	N
hsa-let-7g	4284	446.001215	N
hsa-let-7i	2172	226.123865	N
hsa-mir-100	40235	4188.809263	N
hsa-mir-101-1	18291	1904.250285	N
hsa-mir-101-2	18405	1916.118665	N
hsa-mir-103a-1	53262	5545.031912	Y
hsa-mir-103a-2	53520	5571.891929	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	317	33.002424	N
hsa-mir-105-2	303	31.544904	N
hsa-mir-106a	64	6.662950	Y
hsa-mir-106b	2811	292.649257	N
hsa-mir-107	205	21.342262	Y
hsa-mir-10a	50	5.205430	N
hsa-mir-10b	3106	323.361292	N
hsa-mir-1-1	4	0.416434	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.416434	N
hsa-mir-1180	233	24.257302	N
hsa-mir-1181	1	0.104109	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.104109	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.208217	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	6	0.624652	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	34	3.539692	N
hsa-mir-1225	1	0.104109	N
hsa-mir-1226	8	0.832869	N
hsa-mir-1227	1	0.104109	N
hsa-mir-1228	5	0.520543	N
hsa-mir-1229	3	0.312326	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	225	23.424434	N
hsa-mir-124-2	231	24.049085	N
hsa-mir-1243	1	0.104109	N
hsa-mir-124-3	221	23.007999	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	53	5.517755	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	44	4.580778	N
hsa-mir-1250	3	0.312326	N
hsa-mir-1251	13	1.353412	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.104109	N
hsa-mir-1254-2	1	0.104109	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.104109	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.312326	N
hsa-mir-125a	3674	382.494973	N
hsa-mir-125b-1	18346	1909.976258	N
hsa-mir-125b-2	18723	1949.225198	N
hsa-mir-126	1932	201.137803	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.416434	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.208217	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.208217	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2318	241.323720	N
hsa-mir-1270	12	1.249303	N
hsa-mir-1271	55	5.725973	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.520543	N
hsa-mir-1276	2	0.208217	N
hsa-mir-1277	1	0.104109	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	5059	526.685375	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	2489	259.126289	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.104109	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	40	4.164344	N
hsa-mir-1288	3	0.312326	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	0.624652	N
hsa-mir-129-1	444	46.224216	N
