miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	87974	11875.102335	N
hsa-let-7a-2	88213	11907.363565	Y
hsa-let-7a-3	89494	12080.278359	N
hsa-let-7b	191675	25873.101599	N
hsa-let-7c	61817	8344.319924	Y
hsa-let-7d	4178	563.964098	N
hsa-let-7e	11047	1491.170749	N
hsa-let-7f-1	18885	2549.177116	N
hsa-let-7f-2	18892	2550.122005	N
hsa-let-7g	4151	560.319524	N
hsa-let-7i	4074	549.925738	N
hsa-mir-100	129686	17505.564387	Y
hsa-mir-101-1	68802	9287.184746	N
hsa-mir-101-2	69668	9404.081086	N
hsa-mir-103a-1	81546	11007.423728	Y
hsa-mir-103a-2	81671	11024.296756	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	601	81.125520	N
hsa-mir-105-2	566	76.401072	N
hsa-mir-106a	145	19.572713	Y
hsa-mir-106b	3957	534.132584	N
hsa-mir-107	843	113.791703	Y
hsa-mir-10a	357	48.189369	N
hsa-mir-10b	1679	226.638516	N
hsa-mir-1-1	12	1.619811	N
hsa-mir-1178	1	0.134984	N
hsa-mir-1179	11	1.484826	N
hsa-mir-1180	804	108.527318	N
hsa-mir-1181	4	0.539937	N
hsa-mir-1182	1	0.134984	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.944890	N
hsa-mir-1185-2	2	0.269968	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.674921	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	20	2.699685	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	219	29.561546	N
hsa-mir-1225	4	0.539937	N
hsa-mir-1226	50	6.749211	N
hsa-mir-1227	2	0.269968	N
hsa-mir-1228	18	2.429716	N
hsa-mir-1229	36	4.859432	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.134984	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1130	152.532176	N
hsa-mir-124-2	1146	154.691923	N
