miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	218037	12794.394987	N
hsa-let-7a-2	216984	12732.605025	Y
hsa-let-7a-3	219266	12866.512616	N
hsa-let-7b	419474	24614.703206	N
hsa-let-7c	129899	7622.463685	Y
hsa-let-7d	3911	229.497190	N
hsa-let-7e	10668	625.997449	N
hsa-let-7f-1	66429	3898.048793	N
hsa-let-7f-2	66684	3913.012174	N
hsa-let-7g	4977	292.049991	N
hsa-let-7i	4898	287.414277	N
hsa-mir-100	122981	7216.515958	Y
hsa-mir-101-1	114774	6734.929807	N
hsa-mir-101-2	116001	6806.930076	N
hsa-mir-103a-1	117622	6902.050236	Y
hsa-mir-103a-2	117877	6917.013617	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	575	33.740957	N
hsa-mir-105-2	580	34.034357	N
hsa-mir-106a	123	7.217631	Y
hsa-mir-106b	6068	356.069790	N
hsa-mir-107	922	54.102892	Y
hsa-mir-10a	2129	124.929562	N
hsa-mir-10b	327568	19221.665943	N
hsa-mir-1-1	25	1.466998	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.410759	N
hsa-mir-1180	931	54.631011	N
hsa-mir-1181	2	0.117360	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.352080	N
hsa-mir-1185-2	5	0.293400	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	13	0.762839	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	33	1.936438	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	281	16.489059	N
hsa-mir-1224	195	11.442586	N
hsa-mir-1225	4	0.234720	N
hsa-mir-1226	17	0.997559	N
hsa-mir-1227	1	0.058680	N
hsa-mir-1228	21	1.232278	N
hsa-mir-1229	6	0.352080	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.058680	N
hsa-mir-1236	2	0.117360	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.117360	N
hsa-mir-124-1	851	49.936617	N
hsa-mir-124-2	869	50.992856	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	812	47.648100	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	97	5.691953	N
hsa-mir-1248	4	0.234720	N
hsa-mir-1249	274	16.078300	N
hsa-mir-1250	5	0.293400	N
hsa-mir-1251	52	3.051356	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.176040	N
hsa-mir-1254-2	1	0.058680	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	0.586799	N
hsa-mir-125a	4076	239.179378	N
hsa-mir-125b-1	13037	765.010193	N
hsa-mir-125b-2	14326	840.648617	N
hsa-mir-126	14085	826.506755	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	0.645479	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	4	0.234720	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	34	1.995117	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	66	3.872875	N
hsa-mir-1269b	4	0.234720	N
hsa-mir-127	14413	845.753771	N
hsa-mir-1270	1	0.058680	N
hsa-mir-1271	43	2.523237	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.058680	N
hsa-mir-1275	6	0.352080	N
hsa-mir-1276	2	0.117360	N
hsa-mir-1277	3	0.176040	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	7807	458.114181	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	6451	378.544202	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.058680	N
hsa-mir-1284	1	0.058680	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.117360	N
hsa-mir-1287	41	2.405877	N
hsa-mir-1288	6	0.352080	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	10	0.586799	N
hsa-mir-129-1	5767	338.407132	N
hsa-mir-1292	4	0.234720	N
hsa-mir-129-2	6375	374.084527	N
hsa-mir-1293	4	0.234720	N
hsa-mir-1294	1	0.058680	N
hsa-mir-1295a	2	0.117360	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	174	10.210307	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	76	4.459674	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	264	15.491500	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	4	0.234720	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	221	12.968264	N
hsa-mir-1307	4568	268.049901	N
hsa-mir-130a	172	10.092947	N
hsa-mir-130b	158	9.271428	N
hsa-mir-132	2860	167.824588	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.117360	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	40	2.347197	Y
hsa-mir-133a-2	23	1.349638	Y
hsa-mir-133b	12	0.704159	Y
hsa-mir-134	4759	279.257767	N
hsa-mir-1343	17	0.997559	N
hsa-mir-135a-1	117	6.865551	N
hsa-mir-135a-2	91	5.339873	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	231	13.555063	N
hsa-mir-137	216	12.674864	N
hsa-mir-138-1	77	4.518354	N
hsa-mir-138-2	58	3.403436	N
hsa-mir-139	2665	156.382002	N
hsa-mir-140	31575	1852.818658	N
hsa-mir-141	8	0.469439	N
hsa-mir-142	2055	120.587248	N
hsa-mir-143	159222	9343.135150	N
hsa-mir-144	9231	541.674395	N
hsa-mir-145	2177	127.746199	N
hsa-mir-1468	109	6.396112	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	350	20.537974	N
hsa-mir-146b	1907	111.902619	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.176040	N
hsa-mir-148a	9318	546.779549	N
hsa-mir-148b	1344	78.865820	N
hsa-mir-149	608	35.677395	N
hsa-mir-150	1277	74.934265	N
hsa-mir-151a	24600	1443.526175	N
hsa-mir-151b	27	1.584358	N
hsa-mir-152	5076	297.859303	N
hsa-mir-153-1	405	23.765370	N
hsa-mir-153-2	3594	210.895653	N
hsa-mir-1537	2	0.117360	N
hsa-mir-1538	1	0.058680	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	39	2.288517	N
hsa-mir-155	188	11.031826	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1683	98.758315	N
hsa-mir-15b	1640	96.235078	N
hsa-mir-16-1	3176	186.367444	N
hsa-mir-16-2	3260	191.296558	N
hsa-mir-17	3649	214.123049	Y
hsa-mir-181a-1	13228	776.218059	N
hsa-mir-181a-2	38561	2262.756620	N
hsa-mir-181b-1	3515	206.259939	N
hsa-mir-181b-2	3578	209.956775	N
hsa-mir-181c	3644	213.829650	N
hsa-mir-181d	825	48.410939	N
hsa-mir-182	190346	11169.489161	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	77036	4520.466766	N
hsa-mir-184	93	5.457233	N
hsa-mir-185	786	46.122422	N
hsa-mir-186	770	45.183543	N
hsa-mir-187	15	0.880199	N
hsa-mir-188	10	0.586799	N
hsa-mir-18a	23	1.349638	N
hsa-mir-18b	3	0.176040	N
hsa-mir-1908	1	0.058680	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	73	4.283635	N
hsa-mir-190b	1	0.058680	N
hsa-mir-191	3997	234.543664	N
hsa-mir-1910	1	0.058680	N
hsa-mir-1911	5	0.293400	N
hsa-mir-1912	5	0.293400	N
hsa-mir-1913	2	0.117360	N
hsa-mir-1914	2	0.117360	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	3262	191.413918	Y
hsa-mir-193a	274	16.078300	N
hsa-mir-193b	891	52.283814	N
hsa-mir-194-1	951	55.804609	N
hsa-mir-194-2	969	56.860848	N
hsa-mir-195	2083	122.230285	N
hsa-mir-196a-1	4	0.234720	N
hsa-mir-196a-2	2	0.117360	N
hsa-mir-196b	34	1.995117	N
hsa-mir-197	3095	181.614370	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	36	2.112477	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	144	8.449909	Y
hsa-mir-199a-2	251	14.728661	Y
hsa-mir-199b	281	16.489059	Y
hsa-mir-19a	44	2.581917	N
hsa-mir-19b-1	229	13.437703	N
hsa-mir-19b-2	215	12.616184	N
hsa-mir-200a	30	1.760398	N
hsa-mir-200b	35	2.053797	N
hsa-mir-200c	102	5.985352	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	8606	504.999442	N
hsa-mir-203b	89	5.222513	N
hsa-mir-204	234	13.731103	N
hsa-mir-205	5	0.293400	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	3	0.176040	N
hsa-mir-20a	1717	100.753433	N
hsa-mir-20b	304	17.838697	N
hsa-mir-21	78369	4598.687107	N
hsa-mir-210	1212	71.120070	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	14	0.821519	N
hsa-mir-2113	7	0.410759	N
hsa-mir-2114	8	0.469439	N
hsa-mir-2115	17	0.997559	N
hsa-mir-2116	1	0.058680	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	101	5.926673	N
hsa-mir-214	0	0.000000	N
hsa-mir-215	71	4.166275	Y
hsa-mir-216a	96	5.633273	N
hsa-mir-216b	33	1.936438	N
hsa-mir-217	3289	192.998276	N
hsa-mir-218-1	234	13.731103	N
hsa-mir-218-2	260	15.256781	N
hsa-mir-219a-1	66	3.872875	N
hsa-mir-219a-2	8199	481.116712	N
hsa-mir-219b	3	0.176040	N
hsa-mir-22	363157	21310.025823	N
hsa-mir-221	349	20.479294	N
hsa-mir-222	48	2.816636	N
hsa-mir-223	989	58.034447	N
hsa-mir-224	11	0.645479	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	4	0.234720	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	323	18.953616	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	5226	306.661292	Y
hsa-mir-23b	3330	195.404153	Y
hsa-mir-23c	2	0.117360	N
hsa-mir-24-1	3224	189.184081	N
