miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	215437	18394.935823	N
hsa-let-7a-2	214832	18343.278326	Y
hsa-let-7a-3	216598	18494.066987	N
hsa-let-7b	347115	29638.168691	N
hsa-let-7c	282849	24150.861750	Y
hsa-let-7d	3865	330.010291	N
hsa-let-7e	34576	2952.247298	N
hsa-let-7f-1	82964	7083.822443	N
hsa-let-7f-2	83764	7152.129877	N
hsa-let-7g	8194	699.638893	N
hsa-let-7i	6425	548.594079	N
hsa-mir-100	234237	20000.160522	Y
hsa-mir-101-1	83119	7097.057008	N
hsa-mir-101-2	85920	7336.218412	N
hsa-mir-103a-1	223573	19089.622427	Y
hsa-mir-103a-2	224146	19138.547627	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	545	46.534439	N
hsa-mir-105-2	508	43.375221	N
hsa-mir-106a	219	18.699160	Y
hsa-mir-106b	3636	310.457288	N
hsa-mir-107	1354	115.610332	Y
hsa-mir-10a	205	17.503780	N
hsa-mir-10b	2062	176.062411	N
hsa-mir-1-1	13	1.109996	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	1.195380	N
hsa-mir-1180	632	53.962873	N
hsa-mir-1181	1	0.085384	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.085384	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.341537	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	23	1.963839	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.085384	N
hsa-mir-1224	38	3.244603	N
hsa-mir-1225	1	0.085384	N
hsa-mir-1226	34	2.903066	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	22	1.878454	N
hsa-mir-1229	5	0.426921	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	97	8.282276	N
hsa-mir-124-2	104	8.879966	N
hsa-mir-1243	3	0.256153	N
hsa-mir-124-3	90	7.684586	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	41	3.500756	N
hsa-mir-1248	15	1.280764	N
hsa-mir-1249	107	9.136119	N
hsa-mir-1250	1	0.085384	N
hsa-mir-1251	160	13.661487	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.341537	N
hsa-mir-1254-2	5	0.426921	N
hsa-mir-1255a	2	0.170769	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.256153	N
hsa-mir-1257	1	0.085384	N
hsa-mir-1258	6	0.512306	N
hsa-mir-125a	10318	880.995130	N
hsa-mir-125b-1	33057	2822.548557	N
hsa-mir-125b-2	35387	3021.493959	N
hsa-mir-126	6081	519.221883	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.170769	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	53	4.525368	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	4	0.341537	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	0.768459	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11	0.939227	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5654	482.762790	N
hsa-mir-1270	20	1.707686	N
hsa-mir-1271	69	5.891516	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	7	0.597690	N
hsa-mir-1276	11	0.939227	N
hsa-mir-1277	5	0.426921	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	11309	965.610964	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	6848	584.711635	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.341537	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	64	5.464595	N
hsa-mir-1288	2	0.170769	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-129-1	1406	120.050315	N
hsa-mir-1292	10	0.853843	N
hsa-mir-129-2	1361	116.208022	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.085384	N
hsa-mir-1295a	12	1.024612	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	173	14.771483	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	148	12.636875	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	136	11.612264	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
