File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
ccf5b846-6719-4c6d-8c0a-4e547fdddd63	1886f8fe-95fc-4774-91f9-fde0829dae5e.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-S9-A7J1	TCGA-S9-A7J1-01A	Primary Tumor
65dcd09e-b041-438f-b50c-eb5c62300627	3640adc3-c97d-4db0-869f-43cc2a21eea1.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LGG	TCGA-DB-A4XH	TCGA-DB-A4XH-01A	Primary Tumor
a1c63de5-5c45-4ea1-a7ab-bed8c2901fd9	cafc2827-1aaa-4cc7-ba99-020f6931dd20.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LGG	TCGA-DH-5143	TCGA-DH-5143-01A	Primary Tumor
537db459-574e-4750-bfd9-46bb27f1effd	7e0e2b5e-425e-43b1-b2a4-2ff04c6d0a7d.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-WY-A85B	TCGA-WY-A85B-01A	Primary Tumor
1197fd1b-3be5-4064-8641-363f9ebc2da6	a421e055-fc61-4c50-b7c7-5a8e3d800d91.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LGG	TCGA-HT-8110	TCGA-HT-8110-01A	Primary Tumor
5617da1a-2e12-4bf4-a0e5-bf1d2557659b	267158f1-ea29-41c5-b26f-9a80c6f4a420.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LGG	TCGA-QH-A6CY	TCGA-QH-A6CY-01A	Primary Tumor
a5b876dd-eda3-4ccb-a8f9-299b03faf1e4	7178975e-bf9f-4c9c-99be-016505ad99f4.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-DU-8158	TCGA-DU-8158-01A	Primary Tumor
f57ee5f7-ebd3-48a0-af2a-0754e2e4e118	ce63f5a8-8633-4782-b2d1-0979431449f5.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-DB-5270	TCGA-DB-5270-01A	Primary Tumor
cd84edd6-8f45-4a26-82d0-056a173eb6d4	f08a7808-42de-428b-8e25-331d0108b6f8.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LGG	TCGA-FG-5964	TCGA-FG-5964-01A	Primary Tumor
b37e04ae-91eb-4f6b-920a-07e8bbb625e1	fd84fe32-77be-46b6-92cf-03947327fae4.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LGG	TCGA-TM-A84O	TCGA-TM-A84O-01A	Primary Tumor
