miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.175687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	1.959478	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	22	4.310852	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	345	67.601991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8949	1753.536858	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	24683	4836.579535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	61020	11956.734726	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1305	255.711878	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	28	5.486538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.195948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.195948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.783791	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	1.371635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.195948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.195948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.391896	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	1.175687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.783791	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	3	0.587843	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	4	0.783791	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	4	0.783791	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	0.783791	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	23	4.506799	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	36	7.054121	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.195948	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.391896	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.587843	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	30	5.878434	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	1.371635	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.195948	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.195948	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146546-122146568:-	1	0.195948	N	stemloop
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.195948	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	15	2.939217	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1247	244.346906	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.195948	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.195948	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	0.979739	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	1.763530	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	61055	11963.592899	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	11	2.155426	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146592:-	1	0.195948	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.195948	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	0.587843	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	24655	4831.092997	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	10	1.959478	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146593:-	1	0.195948	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.391896	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8935	1750.793589	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.391896	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	355	69.561469	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.391896	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.587843	N	precursor
